"model","Batch","top_k","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",10,1,0,0,"nswprice",NA,0.810721376571807
"rf",10,1,1,2,"nswprice","nswprice",0.693911317008604
"rf",10,2,0,0,"nswprice;nswdemand",NA,0.810721376571807
"rf",10,2,1,2,"nswprice;nswdemand","nswprice",0.693911317008604
"rf",10,2,2,3,"nswprice;nswdemand","nswdemand",0.737921906022502
"rf",10,2,3,4,"nswprice;nswdemand","nswdemand",0.703838517538054
"rf",10,2,4,5,"nswprice;nswdemand","nswdemand",0.654864328259431
"rf",10,2,5,6,"nswprice;nswdemand","nswdemand",0.658504301786896
"rf",10,3,0,0,"nswprice;nswdemand;vicprice",NA,0.810721376571807
"rf",10,3,1,2,"nswprice;nswdemand;vicprice","nswprice",0.693911317008604
"rf",10,3,2,3,"nswprice;nswdemand;vicprice","nswdemand",0.737921906022502
"rf",10,3,3,4,"nswprice;nswdemand;vicprice","nswdemand",0.703838517538054
"rf",10,3,4,5,"nswprice;nswdemand;vicprice","nswdemand;vicprice",0.654864328259431
"rf",10,3,5,6,"nswprice;nswdemand;vicprice","nswdemand",0.658504301786896
"logistic",10,1,0,0,"nswprice",NA,0.815354070152217
"logistic",10,1,1,1,"nswprice","nswprice",0.764394440767703
"logistic",10,1,2,2,"nswprice","nswprice",0.71012574454004
"logistic",10,2,0,0,"nswprice;nswdemand",NA,0.815354070152217
"logistic",10,2,1,1,"nswprice;nswdemand","nswprice",0.764394440767703
"logistic",10,2,2,2,"nswprice;nswdemand","nswprice",0.71012574454004
"logistic",10,3,0,0,"nswprice;nswdemand",NA,0.815354070152217
"logistic",10,3,1,1,"nswprice;nswdemand;vicprice","nswprice",0.764394440767703
"logistic",10,3,2,2,"nswprice;nswdemand;vicdemand","nswprice",0.71012574454004
"tree",10,1,0,0,"nswprice",NA,0.795499669093316
"tree",10,1,1,10,"nswprice","nswprice",0.810264900662252
"tree",10,2,0,0,"nswprice;nswdemand",NA,0.795499669093316
"tree",10,2,1,2,"nswprice;vicprice","nswdemand",0.692256783587028
"tree",10,3,0,0,"nswprice;nswdemand",NA,0.795499669093316
"tree",10,3,1,2,"nswprice;vicprice;nswdemand","nswdemand",0.692256783587028
"tree",10,3,2,5,"nswprice;vicprice;nswdemand","nswdemand",0.665784248841827
"tree",10,3,3,6,"nswprice;vicdemand;vicprice","nswdemand",0.614824619457313
"rf",20,1,0,0,"nswprice",NA,0.814222712238148
"rf",20,2,0,0,"nswprice;nswdemand",NA,0.814222712238148
"rf",20,2,1,4,"nswprice;nswdemand","nswdemand",0.751929437706725
"rf",20,2,2,15,"nswprice;nswdemand","nswdemand",0.785005512679162
"rf",20,2,3,20,"nswprice;nswdemand","nswdemand",0.618625277161863
"rf",20,3,0,0,"nswprice;nswdemand;vicprice",NA,0.814222712238148
"rf",20,3,1,4,"nswprice;nswdemand;vicprice","nswdemand",0.751929437706725
"rf",20,3,2,15,"nswprice;nswdemand;vicprice","nswdemand",0.785005512679162
"rf",20,3,3,20,"nswprice;nswdemand;vicprice","nswdemand",0.618625277161863
"logistic",20,1,0,0,"nswprice",NA,0.804299889746417
"logistic",20,1,1,6,"nswprice","nswprice",0.700661521499449
"logistic",20,1,2,8,"nswprice","nswprice",0.678610804851158
"logistic",20,1,3,16,"nswprice","nswprice",0.738147739801544
"logistic",20,1,4,19,"nswprice","nswprice",0.830760749724366
"logistic",20,2,0,0,"nswprice;nswdemand",NA,0.804299889746417
"logistic",20,2,1,5,"nswprice;vicprice","nswdemand",0.786659316427784
"logistic",20,2,2,6,"nswprice;nswdemand","nswprice",0.763506063947078
"logistic",20,2,3,8,"nswprice;nswdemand","nswprice",0.675303197353914
"logistic",20,2,4,13,"nswprice;vicprice","nswprice",0.589856670341786
"logistic",20,2,5,19,"nswprice;nswdemand","nswprice",0.787761852260198
"logistic",20,3,0,0,"nswprice;nswdemand",NA,0.804299889746417
"logistic",20,3,1,5,"nswprice;vicprice;nswdemand","nswdemand",0.786659316427784
"logistic",20,3,2,6,"nswprice;nswdemand;vicprice","nswprice",0.763506063947078
"logistic",20,3,3,8,"nswprice;nswdemand;vicdemand","nswprice",0.675303197353914
"logistic",20,3,4,13,"nswprice;vicprice;nswdemand","nswprice",0.589856670341786
"logistic",20,3,5,19,"nswprice;nswdemand;vicprice","nswprice",0.787761852260198
"tree",20,1,0,0,"nswprice",NA,0.864939360529217
"tree",20,1,1,3,"nswprice","nswprice",0.834619625137817
"tree",20,2,0,0,"nswprice;nswdemand",NA,0.864939360529217
"tree",20,2,1,3,"nswprice;nswdemand","nswprice",0.834619625137817
"tree",20,2,2,7,"nswprice;vicprice","nswdemand",0.681918412348401
"tree",20,2,3,13,"nswprice;vicprice","nswprice",0.592613009922823
"tree",20,3,0,0,"nswprice;nswdemand",NA,0.864939360529217
"tree",20,3,1,3,"nswprice;nswdemand","nswprice",0.834619625137817
"tree",20,3,2,7,"nswprice;vicprice;vicdemand","nswdemand",0.681918412348401
"tree",20,3,3,13,"nswprice;vicprice;vicdemand","nswprice",0.592613009922823
"rf",30,1,0,0,"nswprice",NA,0.804012345679012
"rf",30,1,1,1,"nswprice","nswprice",0.782407407407407
"rf",30,1,2,3,"nswprice","nswprice",0.802469135802469
"rf",30,2,0,0,"nswprice;nswdemand",NA,0.804012345679012
"rf",30,2,1,1,"nswprice;nswdemand","nswprice;nswdemand",0.782407407407407
"rf",30,2,2,3,"nswprice;nswdemand","nswprice",0.802469135802469
"rf",30,2,3,4,"nswprice;nswdemand","nswdemand",0.824845679012346
"rf",30,2,4,5,"nswprice;nswdemand","nswprice",0.798611111111111
"rf",30,2,5,6,"nswprice;nswdemand","nswdemand",0.809413580246914
"rf",30,2,6,12,"nswprice;nswdemand","nswprice",0.772376543209877
"rf",30,2,7,13,"nswprice;nswdemand","nswdemand",0.677469135802469
"rf",30,2,8,14,"nswprice;nswdemand","nswdemand",0.704475308641975
"rf",30,2,9,18,"nswprice;nswdemand","nswprice;nswdemand",0.635030864197531
"rf",30,2,10,19,"nswprice;nswdemand","nswdemand",0.712962962962963
"rf",30,2,11,23,"nswprice;nswdemand","nswdemand",0.666666666666667
"rf",30,2,12,25,"nswprice;nswdemand","nswdemand",0.594907407407407
"rf",30,2,13,26,"nswprice;nswdemand","nswdemand",0.77391975308642
"rf",30,2,14,27,"nswprice;nswdemand","nswdemand",0.822530864197531
"rf",30,2,15,28,"nswprice;nswdemand","nswdemand",0.808641975308642
"rf",30,3,0,0,"nswprice;nswdemand;vicprice",NA,0.804012345679012
"rf",30,3,1,1,"nswprice;nswdemand;vicprice","nswprice;nswdemand",0.782407407407407
"rf",30,3,2,3,"nswprice;nswdemand;vicprice","nswprice",0.802469135802469
"rf",30,3,3,4,"nswprice;nswdemand;vicprice","nswdemand",0.824845679012346
"rf",30,3,4,5,"nswprice;nswdemand;vicprice","nswprice",0.798611111111111
"rf",30,3,5,6,"nswprice;nswdemand;vicprice","nswdemand",0.809413580246914
"rf",30,3,6,12,"nswprice;nswdemand;vicprice","nswprice",0.772376543209877
"rf",30,3,7,13,"nswprice;nswdemand;vicprice","nswdemand",0.677469135802469
"rf",30,3,8,14,"nswprice;nswdemand;vicprice","nswdemand",0.704475308641975
"rf",30,3,9,17,"nswprice;nswdemand;vicprice","vicprice",0.66820987654321
"rf",30,3,10,18,"nswprice;nswdemand;vicprice","nswprice;nswdemand",0.675925925925926
"rf",30,3,11,19,"nswprice;nswdemand;vicdemand","nswdemand",0.732253086419753
"rf",30,3,12,20,"nswprice;nswdemand;vicprice","nswdemand;vicdemand",0.638117283950617
"rf",30,3,13,21,"nswprice;nswdemand;vicprice","nswprice",0.723765432098765
"rf",30,3,14,23,"nswprice;nswdemand;vicprice","nswdemand",0.679012345679012
"rf",30,3,15,24,"nswprice;nswdemand;vicprice","nswdemand",0.713734567901235
"rf",30,3,16,27,"nswprice;nswdemand;vicprice","nswdemand",0.713734567901235
"logistic",30,1,0,0,"nswprice",NA,0.815586419753086
"logistic",30,1,1,1,"nswprice","nswprice",0.640432098765432
"logistic",30,1,2,9,"nswprice","nswprice",0.80787037037037
"logistic",30,1,3,10,"nswprice","nswprice",0.790123456790123
"logistic",30,1,4,12,"nswprice","nswprice",0.78858024691358
"logistic",30,1,5,14,"nswprice","nswprice",0.715277777777778
"logistic",30,1,6,16,"nswprice","nswprice",0.624228395061728
"logistic",30,1,7,17,"nswprice","nswprice",0.675925925925926
"logistic",30,1,8,18,"nswprice","nswprice",0.63966049382716
"logistic",30,1,9,24,"nswprice","nswprice",0.709104938271605
"logistic",30,1,10,27,"nswprice","nswprice",0.780864197530864
"logistic",30,1,11,29,"nswprice","nswprice",0.816358024691358
"logistic",30,2,0,0,"nswprice;nswdemand",NA,0.815586419753086
"logistic",30,2,1,1,"nswprice;nswdemand","nswprice",0.640432098765432
"logistic",30,2,2,9,"nswprice;vicprice","nswprice",0.80787037037037
"logistic",30,2,3,10,"nswprice;vicprice","nswprice",0.790123456790123
"logistic",30,2,4,12,"nswprice;nswdemand","nswprice",0.78858024691358
"logistic",30,2,5,14,"nswprice;nswdemand","nswprice",0.715277777777778
"logistic",30,2,6,16,"nswprice;nswdemand","nswprice",0.624228395061728
"logistic",30,2,7,17,"nswprice;vicdemand","nswprice",0.675925925925926
"logistic",30,2,8,18,"nswprice;vicdemand","nswprice;vicdemand",0.63966049382716
"logistic",30,2,9,19,"nswprice;vicprice","vicdemand",0.621141975308642
"logistic",30,2,10,29,"nswprice;vicdemand","nswprice",0.753086419753086
"logistic",30,3,0,0,"nswprice;nswdemand",NA,0.815586419753086
"logistic",30,3,1,1,"nswprice;nswdemand","nswprice",0.640432098765432
"logistic",30,3,2,9,"nswprice;vicprice;nswdemand","nswprice",0.80787037037037
