"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model"
"KSWIN","   1.9067523","10",10,"feature_4","rf"
"PageHinkley","   1.9746535","3",10,"feature_4","rf"
"PDD","   2.0112228","8",10,"feature_4","rf"
"Base Test","   1.6639221","0",10,"feature_4","rf"
"Base Train","   0.7430855","0",10,"feature_4","rf"
"batch sizes","5332.0000000","1334",10,"feature_4","rf"
"KSWIN","   2.802900","10",10,"feature_4","linear"
"PageHinkley","   2.802279","5",10,"feature_4","linear"
"PDD","   2.833247","3",10,"feature_4","linear"
"Base Test","   2.643223","0",10,"feature_4","linear"
"Base Train","   2.592646","0",10,"feature_4","linear"
"batch sizes","5332.000000","1334",10,"feature_4","linear"
"KSWIN","   3.297707","10",10,"feature_4","tree"
"PageHinkley","   3.325403","9",10,"feature_4","tree"
"PDD","   3.346021","3",10,"feature_4","tree"
"Base Test","   3.025395","0",10,"feature_4","tree"
"Base Train","   2.984331","0",10,"feature_4","tree"
"batch sizes","5332.000000","1334",10,"feature_4","tree"
"KSWIN","   1.9282419","20",20,"feature_4","rf"
"PageHinkley","   2.0654396","5",20,"feature_4","rf"
"PDD","   1.8544005","18",20,"feature_4","rf"
"Base Test","   1.8074429","0",20,"feature_4","rf"
"Base Train","   0.7709039","0",20,"feature_4","rf"
"batch sizes","3200.0000000","800",20,"feature_4","rf"
"KSWIN","   2.800709","19",20,"feature_4","linear"
"PageHinkley","   2.797390","10",20,"feature_4","linear"
"PDD","   2.679967","2",20,"feature_4","linear"
"Base Test","   2.559085","0",20,"feature_4","linear"
"Base Train","   2.557912","0",20,"feature_4","linear"
"batch sizes","3200.000000","800",20,"feature_4","linear"
"KSWIN","   3.276538","19",20,"feature_4","tree"
"PageHinkley","   3.281308","16",20,"feature_4","tree"
"PDD","   3.177751","3",20,"feature_4","tree"
"Base Test","   3.157366","0",20,"feature_4","tree"
"Base Train","   2.920401","0",20,"feature_4","tree"
"batch sizes","3200.000000","800",20,"feature_4","tree"
"KSWIN","   1.9371260","25",30,"feature_4","rf"
"PageHinkley","   2.0143750","7",30,"feature_4","rf"
"PDD","   2.0466838","4",30,"feature_4","rf"
"Base Test","   1.7661213","0",30,"feature_4","rf"
"Base Train","   0.7949281","0",30,"feature_4","rf"
"batch sizes","2285.0000000","572",30,"feature_4","rf"
"KSWIN","   2.790632","30",30,"feature_4","linear"
"PageHinkley","   2.781162","9",30,"feature_4","linear"
"PDD","   2.792438","1",30,"feature_4","linear"
"Base Test","   2.595838","0",30,"feature_4","linear"
"Base Train","   2.546311","0",30,"feature_4","linear"
"batch sizes","2285.000000","572",30,"feature_4","linear"
"KSWIN","   3.292062","23",30,"feature_4","tree"
"PageHinkley","   3.275241","16",30,"feature_4","tree"
"PDD","   3.255953","2",30,"feature_4","tree"
"Base Test","   3.040048","0",30,"feature_4","tree"
"Base Train","   2.974407","0",30,"feature_4","tree"
"batch sizes","2285.000000","572",30,"feature_4","tree"
