"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model"
"KSWIN","1.998657","10",10,"feature_4","rf"
"PageHinkley","2.057447","3",10,"feature_4","rf"
"PDD_C","2.091111","0",10,"feature_4","rf"
"PDD_1","2.091111","0",10,"feature_4","rf"
"PDD_2","2.091111","0",10,"feature_4;feature_2","rf"
"PDD_3","2.091111","0",10,"feature_4;feature_2;feature_1","rf"
"Base Test","1.663922","0",10,"feature_4","rf"
"Base Train","0.7430855","0",10,"feature_4","rf"
"batch sizes","5332","1334",10,"feature_4","rf"
"KSWIN","2.835634","10",10,"feature_4","linear"
"PageHinkley","2.832767","5",10,"feature_4","linear"
"PDD_C","2.843165","1",10,"feature_4","linear"
"PDD_1","2.842169","0",10,"feature_4","linear"
"PDD_2","2.842169","0",10,"feature_4;feature_2","linear"
"PDD_3","2.842169","0",10,"feature_4;feature_2;feature_1","linear"
"Base Test","2.643223","0",10,"feature_4","linear"
"Base Train","2.592646","0",10,"feature_4","linear"
"batch sizes","5332","1334",10,"feature_4","linear"
"KSWIN","3.336439","10",10,"feature_4","tree"
"PageHinkley","3.359554","9",10,"feature_4","tree"
"PDD_C","3.283912","0",10,"feature_4","tree"
"PDD_1","3.283912","0",10,"feature_4","tree"
"PDD_2","3.283912","0",10,"feature_4;feature_2","tree"
"PDD_3","3.283912","0",10,"feature_4;feature_2;feature_1","tree"
"Base Test","3.025395","0",10,"feature_4","tree"
"Base Train","2.984331","0",10,"feature_4","tree"
"batch sizes","5332","1334",10,"feature_4","tree"
"KSWIN","1.928242","20",20,"feature_4","rf"
"PageHinkley","2.06544","5",20,"feature_4","rf"
"PDD_C","2.098068","0",20,"feature_4","rf"
"PDD_1","2.098068","0",20,"feature_4","rf"
"PDD_2","2.098068","0",20,"feature_4;feature_2","rf"
"PDD_3","2.098068","0",20,"feature_4;feature_2;feature_1","rf"
"Base Test","1.807443","0",20,"feature_4","rf"
"Base Train","0.7709039","0",20,"feature_4","rf"
"batch sizes","3200","800",20,"feature_4","rf"
"KSWIN","2.800709","19",20,"feature_4","linear"
"PageHinkley","2.79739","10",20,"feature_4","linear"
"PDD_C","2.807288","1",20,"feature_4","linear"
"PDD_1","2.809186","1",20,"feature_4","linear"
"PDD_2","2.809186","1",20,"feature_4;feature_2","linear"
"PDD_3","2.809186","1",20,"feature_4;feature_2;feature_1","linear"
"Base Test","2.559085","0",20,"feature_4","linear"
"Base Train","2.557912","0",20,"feature_4","linear"
"batch sizes","3200","800",20,"feature_4","linear"
"KSWIN","3.276538","19",20,"feature_4","tree"
"PageHinkley","3.281308","16",20,"feature_4","tree"
"PDD_C","3.238696","0",20,"feature_4","tree"
"PDD_1","3.238696","0",20,"feature_4","tree"
"PDD_2","3.238696","0",20,"feature_4;feature_1","tree"
"PDD_3","3.238696","0",20,"feature_4;feature_1;feature_2","tree"
"Base Test","3.157366","0",20,"feature_4","tree"
"Base Train","2.920401","0",20,"feature_4","tree"
"batch sizes","3200","800",20,"feature_4","tree"
"KSWIN","1.924375","25",30,"feature_4","rf"
"PageHinkley","2.013893","7",30,"feature_4","rf"
"PDD_C","2.093629","0",30,"feature_4","rf"
"PDD_1","2.093629","0",30,"feature_4","rf"
"PDD_2","2.093629","0",30,"feature_4;feature_1","rf"
"PDD_3","2.093629","0",30,"feature_4;feature_1;feature_2","rf"
"Base Test","1.766121","0",30,"feature_4","rf"
"Base Train","0.7949281","0",30,"feature_4","rf"
"batch sizes","2285","572",30,"feature_4","rf"
"KSWIN","2.783512","30",30,"feature_4","linear"
"PageHinkley","2.775494","9",30,"feature_4","linear"
"PDD_C","2.799552","0",30,"feature_4","linear"
"PDD_1","2.799552","0",30,"feature_4","linear"
"PDD_2","2.792353","2",30,"feature_4;feature_2","linear"
"PDD_3","2.784035","11",30,"feature_4;feature_2;feature_1","linear"
"Base Test","2.595838","0",30,"feature_4","linear"
"Base Train","2.546311","0",30,"feature_4","linear"
"batch sizes","2285","572",30,"feature_4","linear"
"KSWIN","3.287508","23",30,"feature_4","tree"
"PageHinkley","3.271003","16",30,"feature_4","tree"
"PDD_C","3.244327","0",30,"feature_4","tree"
"PDD_1","3.244327","0",30,"feature_4","tree"
"PDD_2","3.244327","0",30,"feature_4;feature_2","tree"
"PDD_3","3.244327","0",30,"feature_4;feature_2;feature_1","tree"
"Base Test","3.040048","0",30,"feature_4","tree"
"Base Train","2.974407","0",30,"feature_4","tree"
"batch sizes","2285","572",30,"feature_4","tree"
