"model","Batch","top_k","l2_coef","l2der_coef","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",10,1,5,5,0,0,"feature_4",NA,1.66392210563149
"rf",10,2,5,5,0,0,"feature_4;feature_2",NA,1.66392210563149
"rf",10,3,5,5,0,0,"feature_4;feature_2;feature_1",NA,1.66392210563149
"linear",10,1,5,5,0,0,"feature_4",NA,2.64322320715957
"linear",10,2,5,5,0,0,"feature_4;feature_2",NA,2.64322320715957
"linear",10,3,5,5,0,0,"feature_4;feature_2;feature_1",NA,2.64322320715957
"tree",10,1,5,5,0,0,"feature_4",NA,3.02539459492964
"tree",10,2,5,5,0,0,"feature_4;feature_2",NA,3.02539459492964
"tree",10,3,5,5,0,0,"feature_4;feature_2;feature_1",NA,3.02539459492964
"rf",20,1,5,5,0,0,"feature_4",NA,1.80744292662707
"rf",20,2,5,5,0,0,"feature_4;feature_2",NA,1.80744292662707
"rf",20,3,5,5,0,0,"feature_4;feature_2;feature_1",NA,1.80744292662707
"linear",20,1,5,5,0,0,"feature_4",NA,2.55908541587481
"linear",20,1,5,5,1,2,"feature_4","feature_4",2.62040760587693
"linear",20,2,5,5,0,0,"feature_4;feature_2",NA,2.55908541587481
"linear",20,2,5,5,1,2,"feature_4;feature_2","feature_4",2.62040760587693
"linear",20,3,5,5,0,0,"feature_4;feature_2;feature_1",NA,2.55908541587481
"linear",20,3,5,5,1,2,"feature_4;feature_2;feature_1","feature_4",2.62040760587693
"tree",20,1,5,5,0,0,"feature_4",NA,3.15736630006375
"tree",20,2,5,5,0,0,"feature_4;feature_1",NA,3.15736630006375
"tree",20,3,5,5,0,0,"feature_4;feature_1;feature_2",NA,3.15736630006375
"rf",30,1,5,5,0,0,"feature_4",NA,1.76612127481215
"rf",30,2,5,5,0,0,"feature_4;feature_1",NA,1.76612127481215
"rf",30,3,5,5,0,0,"feature_4;feature_1;feature_2",NA,1.76612127481215
"linear",30,1,5,5,0,0,"feature_4",NA,2.59583828972965
"linear",30,2,5,5,0,0,"feature_4;feature_2",NA,2.59583828972965
"linear",30,2,5,5,1,1,"feature_4;feature_2","feature_2",2.55589560555109
"linear",30,2,5,5,2,2,"feature_4;feature_2","feature_2",2.57842836791631
"linear",30,3,5,5,0,0,"feature_4;feature_2;feature_1",NA,2.59583828972965
"linear",30,3,5,5,1,1,"feature_4;feature_2;feature_1","feature_2",2.55589560555109
"linear",30,3,5,5,2,2,"feature_4;feature_2;feature_1","feature_2;feature_1",2.57842836791631
"linear",30,3,5,5,3,7,"feature_4;feature_2;feature_1","feature_1",2.59742550522638
"linear",30,3,5,5,4,8,"feature_4;feature_2;feature_1","feature_1",2.61554817557237
"linear",30,3,5,5,5,13,"feature_4;feature_2;feature_1","feature_4",2.63097075177419
"linear",30,3,5,5,6,22,"feature_4;feature_2;feature_1","feature_2",2.50030275710781
"linear",30,3,5,5,7,24,"feature_4;feature_2;feature_1","feature_4",2.52989283053788
"linear",30,3,5,5,8,25,"feature_4;feature_2;feature_1","feature_4",2.53478916298967
"linear",30,3,5,5,9,26,"feature_4;feature_1;feature_2","feature_4",3.37583325184472
"linear",30,3,5,5,10,28,"feature_4;feature_1;feature_2","feature_4",4.48450052460116
"linear",30,3,5,5,11,29,"feature_4;feature_1;feature_2","feature_4;feature_2",2.99430110422813
"tree",30,1,5,5,0,0,"feature_4",NA,3.04004783732586
"tree",30,2,5,5,0,0,"feature_4;feature_2",NA,3.04004783732586
"tree",30,3,5,5,0,0,"feature_4;feature_2;feature_1",NA,3.04004783732586
