"model","Batch","top_k","l2_coef","l2der_coef","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",10,1,1,1,0,0,"feature_4",NA,1.66392210563149
"rf",10,1,1,1,1,1,"feature_4","feature_4",1.72493740722131
"rf",10,2,1,1,0,0,"feature_4;feature_2",NA,1.66392210563149
"rf",10,2,1,1,1,1,"feature_4;feature_2","feature_4",1.72493740722131
"rf",10,2,1,1,2,2,"feature_4;feature_2","feature_2",1.60258343477935
"rf",10,2,1,1,3,3,"feature_4;feature_2","feature_2",1.55218620775164
"rf",10,2,1,1,4,5,"feature_4;feature_2","feature_4",1.59357090153552
"rf",10,2,1,1,5,6,"feature_4;feature_2","feature_4;feature_2",1.48612267824747
"rf",10,2,1,1,6,7,"feature_4;feature_2","feature_4;feature_2",1.49182445048599
"rf",10,2,1,1,7,8,"feature_4;feature_2","feature_4",1.50059498881886
"rf",10,2,1,1,8,9,"feature_4;feature_1","feature_4",4.69000526977918
"rf",10,2,1,1,9,10,"feature_4;feature_1","feature_4",2.83764473532291
"rf",10,3,1,1,0,0,"feature_4;feature_2;feature_1",NA,1.66392210563149
"rf",10,3,1,1,1,1,"feature_4;feature_2;feature_1","feature_4",1.72493740722131
"rf",10,3,1,1,2,2,"feature_4;feature_2;feature_1","feature_2;feature_1",1.60258343477935
"rf",10,3,1,1,3,3,"feature_4;feature_2;feature_1","feature_2",1.55218620775164
"rf",10,3,1,1,4,4,"feature_4;feature_2;feature_1","feature_1",1.60405542905576
"rf",10,3,1,1,5,5,"feature_4;feature_2;feature_1","feature_4",1.58669750196886
"rf",10,3,1,1,6,6,"feature_4;feature_2;feature_1","feature_4",1.45065337528079
"rf",10,3,1,1,7,7,"feature_4;feature_2;feature_1","feature_1",1.48221858905538
"linear",10,1,1,1,0,0,"feature_4",NA,2.64322320715957
"linear",10,1,1,1,1,1,"feature_4","feature_4",2.6500815917433
"linear",10,1,1,1,2,5,"feature_4","feature_4",2.74701964694994
"linear",10,1,1,1,3,6,"feature_4","feature_4",2.53290588955084
"linear",10,1,1,1,4,7,"feature_4","feature_4",2.59478670406437
"linear",10,2,1,1,0,0,"feature_4;feature_2",NA,2.64322320715957
"linear",10,2,1,1,1,1,"feature_4;feature_2","feature_4;feature_2",2.6500815917433
"linear",10,2,1,1,2,3,"feature_4;feature_2","feature_2",2.69312408142831
"linear",10,2,1,1,3,5,"feature_4;feature_2","feature_4",2.74847956375722
"linear",10,2,1,1,4,6,"feature_4;feature_2","feature_4",2.53301864749089
"linear",10,2,1,1,5,7,"feature_4;feature_2","feature_2",2.59336394871883
"linear",10,3,1,1,0,0,"feature_4;feature_2;feature_1",NA,2.64322320715957
"linear",10,3,1,1,1,1,"feature_4;feature_2;feature_1","feature_4;feature_2",2.6500815917433
"linear",10,3,1,1,2,3,"feature_4;feature_2;feature_1","feature_2;feature_1",2.69312408142831
"linear",10,3,1,1,3,4,"feature_4;feature_2;feature_1","feature_1",2.6302816079425
"linear",10,3,1,1,4,5,"feature_4;feature_2;feature_1","feature_4;feature_1",2.74957394701116
"linear",10,3,1,1,5,7,"feature_4;feature_2;feature_1","feature_2;feature_1",2.59603154467039
"linear",10,3,1,1,6,10,"feature_4;feature_1;feature_2","feature_1",3.19872503418303
"tree",10,1,1,1,0,0,"feature_4",NA,3.02539459492964
"tree",10,1,1,1,1,4,"feature_4","feature_4",3.04526806431905
"tree",10,2,1,1,0,0,"feature_4;feature_2",NA,3.02539459492964
"tree",10,2,1,1,1,3,"feature_4;feature_2","feature_2",3.01623177010616
"tree",10,2,1,1,2,5,"feature_4;feature_2","feature_4",3.11932787742765
"tree",10,2,1,1,3,6,"feature_4;feature_2","feature_2",3.15220908307813
"tree",10,2,1,1,4,8,"feature_4;feature_2","feature_4;feature_2",3.16892096748663
"tree",10,3,1,1,0,0,"feature_4;feature_2;feature_1",NA,3.02539459492964
"tree",10,3,1,1,1,3,"feature_4;feature_2;feature_1","feature_2;feature_1",3.01623177010616
"tree",10,3,1,1,2,4,"feature_4;feature_2;feature_1","feature_1",3.17333856119638
"tree",10,3,1,1,3,5,"feature_4;feature_2;feature_1","feature_4",3.11329210125023
"tree",10,3,1,1,4,6,"feature_4;feature_2;feature_1","feature_1",3.12152408277193
"tree",10,3,1,1,5,7,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",3.1254057878029
"tree",10,3,1,1,6,8,"feature_4;feature_2;feature_1","feature_4;feature_1",3.14161669754178
"tree",10,3,1,1,7,9,"feature_4;feature_1;feature_2","feature_1",4.69639932119858
"tree",10,3,1,1,8,10,"feature_4;feature_1;feature_2","feature_4;feature_1",3.6771544391717
"rf",20,1,1,1,0,0,"feature_4",NA,1.80744292662707
"rf",20,1,1,1,1,1,"feature_4","feature_4",1.82149946422386
"rf",20,1,1,1,2,2,"feature_4","feature_4",1.70729098307797
"rf",20,1,1,1,3,5,"feature_4","feature_4",1.7081759097018
"rf",20,1,1,1,4,10,"feature_4","feature_4",1.67261215936853
"rf",20,1,1,1,5,11,"feature_4","feature_4",1.67740354417924
"rf",20,1,1,1,6,12,"feature_4","feature_4",1.61566542373745
"rf",20,1,1,1,7,13,"feature_4","feature_4",1.56646753085311
"rf",20,1,1,1,8,14,"feature_4","feature_4",1.50971430814749
"rf",20,1,1,1,9,15,"feature_4","feature_4",1.56794683847111
