"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model"
"HDDM_A","   0.7796254","0",10,"attribute2","rf"
"HDDM_W","   0.7877117","4",10,"attribute2","rf"
"KSWIN","   0.7914191","10",10,"attribute2","rf"
"PageHinkley","   0.7877060","3",10,"attribute2","rf"
"DDM","   0.7809433","1",10,"attribute2","rf"
"EDDM","   0.7914191","10",10,"attribute2","rf"
"PDD","   0.7881202","5",10,"attribute2","rf"
"Base Test","   0.7722772","0",10,"attribute2","rf"
"Base Train","   0.9995869","0",10,"attribute2","rf"
"batch sizes","4842.0000000","1211",10,"attribute2","rf"
"HDDM_A","   0.06432884","1",10,"attribute8","logistic"
"HDDM_W","   0.06382915","2",10,"attribute8","logistic"
"KSWIN","   0.07109124","10",10,"attribute8","logistic"
"PageHinkley","   0.06432884","0",10,"attribute8","logistic"
"DDM","   0.06935611","2",10,"attribute8","logistic"
"EDDM","   0.07109124","10",10,"attribute8","logistic"
"PDD","   0.06523206","1",10,"attribute8","logistic"
"Base Test","   0.07178218","0",10,"attribute8","logistic"
"Base Train","   0.07042544","0",10,"attribute8","logistic"
"batch sizes","4842.00000000","1211",10,"attribute8","logistic"
"HDDM_A","   0.7292541","8",10,"attribute2","tree"
"HDDM_W","   0.7385049","10",10,"attribute2","tree"
"KSWIN","   0.7385049","10",10,"attribute2","tree"
"PageHinkley","   0.7402392","2",10,"attribute2","tree"
"DDM","   0.7422289","3",10,"attribute2","tree"
"EDDM","   0.7385049","10",10,"attribute2","tree"
"PDD","   0.7264384","2",10,"attribute2","tree"
"Base Test","   0.7500000","0",10,"attribute2","tree"
"Base Train","   0.7881041","0",10,"attribute2","tree"
"batch sizes","4842.0000000","1211",10,"attribute2","tree"
"HDDM_A","   0.7811940","5",20,"attribute4","rf"
"HDDM_W","   0.7804680","11",20,"attribute4","rf"
"KSWIN","   0.7894323","18",20,"attribute4","rf"
"PageHinkley","   0.7783504","3",20,"attribute4","rf"
"DDM","   0.7916255","20",20,"attribute4","rf"
"EDDM","   0.7916255","20",20,"attribute4","rf"
"PDD","   0.7676476","0",20,"attribute4","rf"
"Base Test","   0.8337912","0",20,"attribute4","rf"
"Base Train","   0.9996556","0",20,"attribute4","rf"
"batch sizes","2904.0000000","727",20,"attribute4","rf"
"HDDM_A","   0.05757873","1",20,"attribute4","logistic"
"HDDM_W","   0.05514496","3",20,"attribute4","logistic"
"KSWIN","   0.06407123","15",20,"attribute4","logistic"
"PageHinkley","   0.05757873","0",20,"attribute4","logistic"
"DDM","   0.06187918","1",20,"attribute4","logistic"
"EDDM","   0.06134585","1",20,"attribute4","logistic"
"PDD","   0.06482787","2",20,"attribute4","logistic"
"Base Test","   0.05769231","0",20,"attribute4","logistic"
"Base Train","   0.07128099","0",20,"attribute4","logistic"
"batch sizes","2904.00000000","727",20,"attribute4","logistic"
"HDDM_A","   0.7434806","9",20,"attribute2","tree"
"HDDM_W","   0.7345429","16",20,"attribute2","tree"
"KSWIN","   0.7334355","20",20,"attribute2","tree"
"PageHinkley","   0.7386672","2",20,"attribute2","tree"
"DDM","   0.7334355","20",20,"attribute2","tree"
"EDDM","   0.7334355","20",20,"attribute2","tree"
"PDD","   0.7402549","0",20,"attribute2","tree"
"Base Test","   0.7733516","0",20,"attribute2","tree"
"Base Train","   0.7995868","0",20,"attribute2","tree"
"batch sizes","2904.0000000","727",20,"attribute2","tree"
"HDDM_A","   0.7769704","2",30,"attribute2","rf"
"HDDM_W","   0.7824241","9",30,"attribute2","rf"
"KSWIN","   0.7921670","26",30,"attribute2","rf"
"PageHinkley","   0.7791524","3",30,"attribute2","rf"
"DDM","   0.7829288","8",30,"attribute2","rf"
"EDDM","   0.7940808","30",30,"attribute2","rf"
"PDD","   0.7912740","22",30,"attribute2","rf"
"Base Test","   0.8153846","0",30,"attribute2","rf"
"Base Train","   0.9995181","0",30,"attribute2","rf"
"batch sizes","2075.0000000","519",30,"attribute2","rf"
"HDDM_A","   0.05171832","1",30,"attribute2","logistic"
"HDDM_W","   0.05184217","3",30,"attribute2","logistic"
"KSWIN","   0.06004356","19",30,"attribute2","logistic"
"PageHinkley","   0.05171832","0",30,"attribute2","logistic"
"DDM","   0.05581342","1",30,"attribute2","logistic"
"EDDM","   0.06223550","4",30,"attribute2","logistic"
"PDD","   0.05555763","4",30,"attribute2","logistic"
"Base Test","   0.03846154","0",30,"attribute2","logistic"
"Base Train","   0.07518072","0",30,"attribute2","logistic"
"batch sizes","2075.00000000","519",30,"attribute2","logistic"
"HDDM_A","   0.7439837","8",30,"attribute2","tree"
"HDDM_W","   0.7384983","23",30,"attribute2","tree"
"KSWIN","   0.7406149","30",30,"attribute2","tree"
"PageHinkley","   0.7276164","2",30,"attribute2","tree"
"DDM","   0.7398133","21",30,"attribute2","tree"
"EDDM","   0.7406149","30",30,"attribute2","tree"
"PDD","   0.7352029","3",30,"attribute2","tree"
"Base Test","   0.7807692","0",30,"attribute2","tree"
"Base Train","   0.7990361","0",30,"attribute2","tree"
"batch sizes","2075.0000000","519",30,"attribute2","tree"
