"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model"
"HDDM_A","0.7796254","0",10,"attribute2","rf"
"HDDM_W","0.7877117","4",10,"attribute2","rf"
"KSWIN","0.7914191","10",10,"attribute2","rf"
"PageHinkley","0.787706","3",10,"attribute2","rf"
"DDM","0.7809433","1",10,"attribute2","rf"
"EDDM","0.7914191","10",10,"attribute2","rf"
"PDD_C","0.7881202","5",10,"attribute2","rf"
"PDD_1","0.7874609","3",10,"attribute2","rf"
"PDD_2","0.7880379","4",10,"attribute2;attribute4","rf"
"PDD_3","0.7880379","4",10,"attribute2;attribute4;attribute3","rf"
"Base Test","0.7722772","0",10,"attribute2","rf"
"Base Train","0.9995869","0",10,"attribute2","rf"
"batch sizes","4842","1211",10,"attribute2","rf"
"HDDM_A","0.7735927","5",10,"attribute8","logistic"
"HDDM_W","0.7735944","7",10,"attribute8","logistic"
"KSWIN","0.7754929","10",10,"attribute8","logistic"
"PageHinkley","0.7707049","3",10,"attribute8","logistic"
"DDM","0.7716114","4",10,"attribute8","logistic"
"EDDM","0.7754929","10",10,"attribute8","logistic"
"PDD_C","0.770044","1",10,"attribute8","logistic"
"PDD_1","0.7712819","2",10,"attribute8","logistic"
"PDD_2","0.7729324","3",10,"attribute8;attribute2","logistic"
"PDD_3","0.7729324","3",10,"attribute8;attribute2;attribute1","logistic"
"Base Test","0.7747525","0",10,"attribute8","logistic"
"Base Train","0.7998761","0",10,"attribute8","logistic"
"batch sizes","4842","1211",10,"attribute8","logistic"
"HDDM_A","0.7292541","8",10,"attribute2","tree"
"HDDM_W","0.7385049","10",10,"attribute2","tree"
"KSWIN","0.7385049","10",10,"attribute2","tree"
"PageHinkley","0.7402392","2",10,"attribute2","tree"
"DDM","0.7422289","3",10,"attribute2","tree"
"EDDM","0.7385049","10",10,"attribute2","tree"
"PDD_C","0.7264384","2",10,"attribute2","tree"
"PDD_1","0.7264384","2",10,"attribute2","tree"
"PDD_2","0.7318214","2",10,"attribute2;attribute1","tree"
"PDD_3","0.7406512","7",10,"attribute2;attribute1;attribute8","tree"
"Base Test","0.75","0",10,"attribute2","tree"
"Base Train","0.7881041","0",10,"attribute2","tree"
"batch sizes","4842","1211",10,"attribute2","tree"
"HDDM_A","0.781194","5",20,"attribute4","rf"
"HDDM_W","0.780468","11",20,"attribute4","rf"
"KSWIN","0.7894323","18",20,"attribute4","rf"
"PageHinkley","0.7783504","3",20,"attribute4","rf"
"DDM","0.7916255","20",20,"attribute4","rf"
"EDDM","0.7916255","20",20,"attribute4","rf"
"PDD_C","0.7676476","0",20,"attribute4","rf"
"PDD_1","0.7676476","0",20,"attribute4","rf"
"PDD_2","0.7676476","1",20,"attribute4;attribute2","rf"
"PDD_3","0.7676476","1",20,"attribute4;attribute2;attribute3","rf"
"Base Test","0.8337912","0",20,"attribute4","rf"
"Base Train","0.9996556","0",20,"attribute4","rf"
"batch sizes","2904","727",20,"attribute4","rf"
"HDDM_A","0.769636","7",20,"attribute4","logistic"
"HDDM_W","0.7712156","12",20,"attribute4","logistic"
"KSWIN","0.7755471","20",20,"attribute4","logistic"
"PageHinkley","0.7680459","3",20,"attribute4","logistic"
"DDM","0.7746462","10",20,"attribute4","logistic"
"EDDM","0.7755471","20",20,"attribute4","logistic"
"PDD_C","0.7694195","2",20,"attribute4","logistic"
"PDD_1","0.7679738","1",20,"attribute4","logistic"
"PDD_2","0.7698328","2",20,"attribute4;attribute2","logistic"
"PDD_3","0.7697572","2",20,"attribute4;attribute2;attribute8","logistic"
"Base Test","0.8118132","0",20,"attribute4","logistic"
"Base Train","0.8040634","0",20,"attribute4","logistic"
"batch sizes","2904","727",20,"attribute4","logistic"
"HDDM_A","0.7434806","9",20,"attribute2","tree"
"HDDM_W","0.7345429","16",20,"attribute2","tree"
"KSWIN","0.7334355","20",20,"attribute2","tree"
"PageHinkley","0.7386672","2",20,"attribute2","tree"
"DDM","0.7334355","20",20,"attribute2","tree"
"EDDM","0.7334355","20",20,"attribute2","tree"
"PDD_C","0.7402549","0",20,"attribute2","tree"
"PDD_1","0.7397661","2",20,"attribute2","tree"
"PDD_2","0.7368734","10",20,"attribute2;attribute1","tree"
"PDD_3","0.7381853","13",20,"attribute2;attribute1;attribute8","tree"
"Base Test","0.7733516","0",20,"attribute2","tree"
"Base Train","0.7995868","0",20,"attribute2","tree"
"batch sizes","2904","727",20,"attribute2","tree"
"HDDM_A","0.7769704","2",30,"attribute2","rf"
"HDDM_W","0.7824241","9",30,"attribute2","rf"
"KSWIN","0.792167","26",30,"attribute2","rf"
"PageHinkley","0.7791524","3",30,"attribute2","rf"
"DDM","0.7829288","8",30,"attribute2","rf"
"EDDM","0.7940808","30",30,"attribute2","rf"
"PDD_C","0.791274","22",30,"attribute2","rf"
"PDD_1","0.78633","6",30,"attribute2","rf"
"PDD_2","0.7855558","10",30,"attribute2;attribute4","rf"
"PDD_3","0.7870861","12",30,"attribute2;attribute4;attribute1","rf"
"Base Test","0.8153846","0",30,"attribute2","rf"
"Base Train","0.9995181","0",30,"attribute2","rf"
"batch sizes","2075","519",30,"attribute2","rf"
"HDDM_A","0.7776842","3",30,"attribute2","logistic"
"HDDM_W","0.7798662","12",30,"attribute2","logistic"
"KSWIN","0.7787765","27",30,"attribute2","logistic"
"PageHinkley","0.7791636","3",30,"attribute2","logistic"
"DDM","0.7715273","10",30,"attribute2","logistic"
"EDDM","0.7780054","30",30,"attribute2","logistic"
"PDD_C","0.7705041","4",30,"attribute2","logistic"
"PDD_1","0.7783875","4",30,"attribute2","logistic"
"PDD_2","0.7743515","10",30,"attribute2;attribute8","logistic"
"PDD_3","0.7743515","10",30,"attribute2;attribute8;attribute4","logistic"
"Base Test","0.8173077","0",30,"attribute2","logistic"
"Base Train","0.8014458","0",30,"attribute2","logistic"
"batch sizes","2075","519",30,"attribute2","logistic"
"HDDM_A","0.7439837","8",30,"attribute2","tree"
"HDDM_W","0.7384983","23",30,"attribute2","tree"
"KSWIN","0.7406149","30",30,"attribute2","tree"
"PageHinkley","0.7276164","2",30,"attribute2","tree"
"DDM","0.7398133","21",30,"attribute2","tree"
"EDDM","0.7406149","30",30,"attribute2","tree"
"PDD_C","0.7352029","3",30,"attribute2","tree"
