"model","Batch","top_k","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",10,1,0,0,"attribute2",NA,0.772277227722772
"rf",10,1,1,3,"attribute2","attribute2",0.750825082508251
"rf",10,1,2,5,"attribute2","attribute2",0.814356435643564
"rf",10,1,3,10,"attribute2","attribute2",0.756622516556291
"rf",10,2,0,0,"attribute2;attribute4",NA,0.772277227722772
"rf",10,2,1,3,"attribute2;attribute4","attribute2",0.750825082508251
"rf",10,2,2,5,"attribute2;attribute4","attribute2",0.814356435643564
"rf",10,2,3,8,"attribute2;attribute4","attribute4",0.785478547854785
"rf",10,2,4,10,"attribute2;attribute4","attribute2;attribute4",0.754966887417219
"rf",10,3,0,0,"attribute2;attribute4;attribute3",NA,0.772277227722772
"rf",10,3,1,3,"attribute2;attribute4;attribute3","attribute2",0.750825082508251
"rf",10,3,2,5,"attribute2;attribute4;attribute3","attribute2",0.814356435643564
"rf",10,3,3,8,"attribute2;attribute4;attribute3","attribute4;attribute3",0.785478547854785
"rf",10,3,4,10,"attribute2;attribute4;attribute1","attribute2;attribute4;attribute3",0.754966887417219
"logistic",10,1,0,0,"attribute8",NA,0.774752475247525
"logistic",10,1,1,2,"attribute8","attribute8",0.765676567656766
"logistic",10,1,2,3,"attribute2","attribute8",0.754125412541254
"logistic",10,2,0,0,"attribute8;attribute2",NA,0.774752475247525
"logistic",10,2,1,2,"attribute8;attribute2","attribute8",0.765676567656766
"logistic",10,2,2,3,"attribute2;attribute8","attribute8",0.754125412541254
"logistic",10,2,3,4,"attribute8;attribute2","attribute8",0.793729372937294
"logistic",10,3,0,0,"attribute8;attribute2;attribute1",NA,0.774752475247525
"logistic",10,3,1,2,"attribute8;attribute2;attribute1","attribute8",0.765676567656766
"logistic",10,3,2,3,"attribute2;attribute8;attribute1","attribute8",0.754125412541254
"logistic",10,3,3,4,"attribute8;attribute2;attribute1","attribute8",0.793729372937294
"tree",10,1,0,0,"attribute2",NA,0.75
"tree",10,1,1,7,"attribute2","attribute2",0.712871287128713
"tree",10,1,2,10,"attribute2","attribute2",0.608443708609272
"tree",10,2,0,0,"attribute2;attribute1",NA,0.75
"tree",10,2,1,5,"attribute2;attribute8","attribute1",0.78960396039604
"tree",10,2,2,6,"attribute2;attribute1","attribute2",0.687293729372937
"tree",10,3,0,0,"attribute2;attribute1;attribute8",NA,0.75
"tree",10,3,1,3,"attribute2;attribute1;attribute8","attribute8",0.725247524752475
"tree",10,3,2,4,"attribute2;attribute1;attribute8","attribute2;attribute1;attribute8",0.783828382838284
"tree",10,3,3,5,"attribute2;attribute1;attribute8","attribute1",0.788778877887789
