"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model","train_acc","overfit_gap","regularize"
"HDDM_A","0.7848207","2",10,"attribute2","rf","0.8882693","0.1110416","strong"
"HDDM_W","0.7891114","6",10,"attribute2","rf","0.8882693","0.1110416","strong"
"KSWIN","0.7937318","10",10,"attribute2","rf","0.8882693","0.1110416","strong"
"PageHinkley","0.7859739","3",10,"attribute2","rf","0.8882693","0.1110416","strong"
"DDM","0.7857266","3",10,"attribute2","rf","0.8882693","0.1110416","strong"
"EDDM","0.7937318","10",10,"attribute2","rf","0.8882693","0.1110416","strong"
"PDD_C","0.7922437","8",10,"attribute2","rf","0.8882693","0.1110416","strong"
"PDD_1","0.786143","4",10,"attribute2","rf","0.8882693","0.1110416","strong"
"PDD_2","0.7881213","6",10,"attribute2;attribute4","rf","0.8882693","0.1110416","strong"
"PDD_3","0.7913347","7",10,"attribute2;attribute4;attribute3","rf","0.8882693","0.1110416","strong"
"Base Test","0.7772277","0",10,"attribute2","rf","0.8882693","0.1110416","strong"
"Base Train","0.8882693","0",10,"attribute2","rf","0.8882693","0.1110416","strong"
"batch sizes","4842","1211",10,"attribute2","rf","0.8882693","0.1110416","strong"
"HDDM_A","0.06432884","1",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"HDDM_W","0.06382915","2",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"KSWIN","0.07109124","10",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"PageHinkley","0.06432884","0",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"DDM","0.06935611","2",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"EDDM","0.07109124","10",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"PDD_C","0.06523206","1",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"PDD_1","0.06778763","2",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"PDD_2","0.06836546","3",10,"attribute8;attribute2","logistic","0.07042544","-0.001356734","strong"
"PDD_3","0.06836546","3",10,"attribute8;attribute2;attribute1","logistic","0.07042544","-0.001356734","strong"
"Base Test","0.07178218","0",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"Base Train","0.07042544","0",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"batch sizes","4842","1211",10,"attribute8","logistic","0.07042544","-0.001356734","strong"
"HDDM_A","0.7283465","8",10,"attribute2","tree","0.7881041","0.03810409","strong"
"HDDM_W","0.7385049","10",10,"attribute2","tree","0.7881041","0.03810409","strong"
"KSWIN","0.7385049","10",10,"attribute2","tree","0.7881041","0.03810409","strong"
"PageHinkley","0.7402392","2",10,"attribute2","tree","0.7881041","0.03810409","strong"
"DDM","0.7422289","3",10,"attribute2","tree","0.7881041","0.03810409","strong"
"EDDM","0.7385049","10",10,"attribute2","tree","0.7881041","0.03810409","strong"
"PDD_C","0.7264384","2",10,"attribute2","tree","0.7881041","0.03810409","strong"
"PDD_1","0.7264384","2",10,"attribute2","tree","0.7881041","0.03810409","strong"
"PDD_2","0.7318214","2",10,"attribute2;attribute1","tree","0.7881041","0.03810409","strong"
"PDD_3","0.7400736","7",10,"attribute2;attribute1;attribute8","tree","0.7881041","0.03810409","strong"
"Base Test","0.75","0",10,"attribute2","tree","0.7881041","0.03810409","strong"
"Base Train","0.7881041","0",10,"attribute2","tree","0.7881041","0.03810409","strong"
"batch sizes","4842","1211",10,"attribute2","tree","0.7881041","0.03810409","strong"
