"model","Batch","top_k","regularize","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",10,1,"strong",0,0,"attribute2",NA,0.777227722772277
"rf",10,1,"strong",1,2,"attribute2","attribute2",0.783003300330033
"rf",10,1,"strong",2,4,"attribute4","attribute2",0.797029702970297
"rf",10,1,"strong",3,9,"attribute2","attribute4",0.778877887788779
"rf",10,1,"strong",4,10,"attribute2","attribute2",0.763245033112583
"rf",10,2,"strong",0,0,"attribute2;attribute4",NA,0.777227722772277
"rf",10,2,"strong",1,2,"attribute2;attribute4","attribute2;attribute4",0.783003300330033
"rf",10,2,"strong",2,4,"attribute4;attribute2","attribute2",0.797029702970297
"rf",10,2,"strong",3,5,"attribute4;attribute2","attribute2",0.831683168316832
"rf",10,2,"strong",4,8,"attribute2;attribute4","attribute4",0.792904290429043
"rf",10,2,"strong",5,9,"attribute2;attribute4","attribute4",0.801980198019802
"rf",10,2,"strong",6,10,"attribute2;attribute4","attribute2;attribute4",0.757450331125828
"rf",10,3,"strong",0,0,"attribute2;attribute4;attribute3",NA,0.777227722772277
"rf",10,3,"strong",1,2,"attribute2;attribute4;attribute8","attribute2;attribute4",0.783003300330033
"rf",10,3,"strong",2,3,"attribute2;attribute4;attribute8","attribute8",0.764026402640264
"rf",10,3,"strong",3,4,"attribute2;attribute4;attribute8","attribute8",0.807755775577558
"rf",10,3,"strong",4,5,"attribute2;attribute4;attribute8","attribute4",0.829207920792079
"rf",10,3,"strong",5,7,"attribute2;attribute4;attribute8","attribute2",0.798679867986799
"rf",10,3,"strong",6,8,"attribute4;attribute2;attribute8","attribute8",0.802805280528053
"rf",10,3,"strong",7,10,"attribute2;attribute4;attribute8","attribute2;attribute8",0.744205298013245
"logistic",10,1,"strong",0,0,"attribute8",NA,0.0717821782178218
"logistic",10,1,"strong",1,2,"attribute8","attribute8",0.0742574257425743
"logistic",10,1,"strong",2,3,"attribute2","attribute8",0.037953795379538
"logistic",10,2,"strong",0,0,"attribute8;attribute2",NA,0.0717821782178218
"logistic",10,2,"strong",1,2,"attribute8;attribute2","attribute8",0.0742574257425743
"logistic",10,2,"strong",2,3,"attribute2;attribute8","attribute8",0.037953795379538
"logistic",10,2,"strong",3,4,"attribute8;attribute2","attribute8",0.0569306930693069
"logistic",10,3,"strong",0,0,"attribute8;attribute2;attribute1",NA,0.0717821782178218
"logistic",10,3,"strong",1,2,"attribute8;attribute2;attribute1","attribute8",0.0742574257425743
"logistic",10,3,"strong",2,3,"attribute2;attribute8;attribute1","attribute8",0.037953795379538
"logistic",10,3,"strong",3,4,"attribute8;attribute2;attribute1","attribute8",0.0569306930693069
"tree",10,1,"strong",0,0,"attribute2",NA,0.75
"tree",10,1,"strong",1,7,"attribute2","attribute2",0.712871287128713
"tree",10,1,"strong",2,10,"attribute2","attribute2",0.608443708609272
"tree",10,2,"strong",0,0,"attribute2;attribute1",NA,0.75
"tree",10,2,"strong",1,5,"attribute2;attribute8","attribute1",0.78960396039604
"tree",10,2,"strong",2,6,"attribute2;attribute1","attribute2",0.687293729372937
"tree",10,3,"strong",0,0,"attribute2;attribute1;attribute8",NA,0.75
"tree",10,3,"strong",1,3,"attribute2;attribute1;attribute8","attribute8",0.725247524752475
"tree",10,3,"strong",2,4,"attribute2;attribute1;attribute8","attribute8",0.778052805280528
"tree",10,3,"strong",3,5,"attribute2;attribute1;attribute8","attribute1",0.788778877887789
"tree",10,3,"strong",4,6,"attribute2;attribute1;attribute8","attribute2;attribute1;attribute8",0.687293729372937
"tree",10,3,"strong",5,7,"attribute2;attribute1;attribute7","attribute1;attribute8",0.708745874587459
"tree",10,3,"strong",6,8,"attribute2;attribute1;attribute7","attribute1",0.760726072607261
"tree",10,3,"strong",7,10,"attribute2;attribute1;attribute8","attribute2;attribute7",0.673013245033113
"rf",20,1,"strong",0,0,"attribute4",NA,0.822802197802198
"rf",20,2,"strong",0,0,"attribute4;attribute2",NA,0.822802197802198
"rf",20,2,"strong",1,15,"attribute4;attribute2","attribute2",0.767857142857143
"rf",20,2,"strong",2,16,"attribute2;attribute4","attribute2",0.773351648351648
"rf",20,2,"strong",3,17,"attribute2;attribute4","attribute4",0.785714285714286
"rf",20,2,"strong",4,19,"attribute2;attribute4","attribute2;attribute4",0.755494505494505
"rf",20,2,"strong",5,20,"attribute2;attribute4","attribute2",0.748603351955307
"rf",20,3,"strong",0,0,"attribute4;attribute2;attribute8",NA,0.822802197802198
"rf",20,3,"strong",1,15,"attribute4;attribute2;attribute8","attribute2",0.767857142857143
"rf",20,3,"strong",2,16,"attribute2;attribute4;attribute8","attribute2;attribute8",0.773351648351648
"rf",20,3,"strong",3,17,"attribute2;attribute4;attribute3","attribute4;attribute8",0.785714285714286
"rf",20,3,"strong",4,19,"attribute2;attribute4;attribute8","attribute2;attribute4",0.755494505494505
"rf",20,3,"strong",5,20,"attribute2;attribute4;attribute8","attribute2",0.748603351955307
"logistic",20,1,"strong",0,0,"attribute4",NA,0.0576923076923077
"logistic",20,1,"strong",1,7,"attribute2","attribute4",0.0288461538461538
"logistic",20,2,"strong",0,0,"attribute4;attribute2",NA,0.0576923076923077
"logistic",20,2,"strong",1,7,"attribute2;attribute8","attribute4",0.0288461538461538
"logistic",20,2,"strong",2,10,"attribute2;attribute8","attribute8",0.0521978021978022
"logistic",20,3,"strong",0,0,"attribute4;attribute2;attribute8",NA,0.0576923076923077
"logistic",20,3,"strong",1,4,"attribute2;attribute8;attribute4","attribute8",0.0467032967032967
"logistic",20,3,"strong",2,7,"attribute2;attribute8;attribute1","attribute8;attribute4",0.032967032967033
"tree",20,1,"strong",0,0,"attribute2",NA,0.763736263736264
"tree",20,1,"strong",1,19,"attribute2","attribute2",0.711538461538462
"tree",20,1,"strong",2,20,"attribute2","attribute2",0.666201117318436
"tree",20,2,"strong",0,0,"attribute2;attribute1",NA,0.763736263736264
"tree",20,2,"strong",1,19,"attribute2;attribute1","attribute2",0.711538461538462
"tree",20,2,"strong",2,20,"attribute2;attribute1","attribute2",0.666201117318436
"tree",20,3,"strong",0,0,"attribute2;attribute1;attribute7",NA,0.763736263736264
"tree",20,3,"strong",1,19,"attribute2;attribute1;attribute8","attribute2",0.711538461538462
"tree",20,3,"strong",2,20,"attribute2;attribute1;attribute7","attribute2;attribute8",0.666201117318436
"rf",30,1,"strong",0,0,"attribute4",NA,0.823076923076923
"rf",30,1,"strong",1,29,"attribute4","attribute4",0.736538461538462
"rf",30,2,"strong",0,0,"attribute4;attribute2",NA,0.823076923076923
"rf",30,2,"strong",1,1,"attribute2;attribute4","attribute2",0.821153846153846
"rf",30,2,"strong",2,4,"attribute4;attribute2","attribute2",0.786538461538462
"rf",30,2,"strong",3,10,"attribute4;attribute2","attribute2",0.773076923076923
"rf",30,2,"strong",4,11,"attribute4;attribute2","attribute2",0.790384615384615
"rf",30,2,"strong",5,13,"attribute2;attribute4","attribute2",0.784615384615385
"rf",30,2,"strong",6,21,"attribute2;attribute4","attribute4",0.732692307692308
"rf",30,2,"strong",7,22,"attribute2;attribute4","attribute2",0.765384615384615
"rf",30,2,"strong",8,23,"attribute2;attribute4","attribute2",0.803846153846154
"rf",30,2,"strong",9,30,"attribute2;attribute7","attribute2",0.751456310679612
"rf",30,3,"strong",0,0,"attribute4;attribute2;attribute8",NA,0.823076923076923
"rf",30,3,"strong",1,1,"attribute2;attribute4;attribute8","attribute2",0.821153846153846
"rf",30,3,"strong",2,3,"attribute2;attribute4;attribute8","attribute8",0.776923076923077
"rf",30,3,"strong",3,4,"attribute2;attribute4;attribute3","attribute2;attribute4;attribute8",0.803846153846154
"rf",30,3,"strong",4,6,"attribute2;attribute4;attribute3","attribute2",0.790384615384615
"rf",30,3,"strong",5,10,"attribute2;attribute4;attribute8","attribute2",0.782692307692308
"rf",30,3,"strong",6,11,"attribute2;attribute4;attribute8","attribute8",0.773076923076923
"rf",30,3,"strong",7,12,"attribute2;attribute4;attribute3","attribute2;attribute8",0.767307692307692
"rf",30,3,"strong",8,13,"attribute2;attribute4;attribute8","attribute2",0.813461538461538
"rf",30,3,"strong",9,15,"attribute2;attribute4;attribute3","attribute8",0.830769230769231
"rf",30,3,"strong",10,16,"attribute2;attribute4;attribute3","attribute2;attribute4",0.817307692307692
"rf",30,3,"strong",11,17,"attribute2;attribute4;attribute7","attribute2",0.815384615384615
"rf",30,3,"strong",12,18,"attribute4;attribute2;attribute8","attribute2",0.805769230769231
"rf",30,3,"strong",13,23,"attribute4;attribute2;attribute7","attribute8",0.801923076923077
"rf",30,3,"strong",14,24,"attribute2;attribute4;attribute7","attribute7",0.815384615384615
"rf",30,3,"strong",15,25,"attribute2;attribute4;attribute8","attribute2",0.786538461538462
"rf",30,3,"strong",16,28,"attribute2;attribute4;attribute7","attribute8",0.811538461538462
"rf",30,3,"strong",17,29,"attribute2;attribute4;attribute7","attribute7",0.742307692307692
"rf",30,3,"strong",18,30,"attribute2;attribute4;attribute8","attribute2",0.745631067961165
"logistic",30,1,"strong",0,0,"attribute2",NA,0.0384615384615385
"logistic",30,1,"strong",1,9,"attribute4","attribute2",0.0403846153846154
"logistic",30,1,"strong",2,11,"attribute8","attribute4",0.0634615384615385
"logistic",30,1,"strong",3,12,"attribute8","attribute8",0.0365384615384615
"logistic",30,1,"strong",4,17,"attribute2","attribute8",0.0673076923076923
"logistic",30,2,"strong",0,0,"attribute2;attribute8",NA,0.0384615384615385
"logistic",30,2,"strong",1,2,"attribute8;attribute2","attribute8",0.0557692307692308
"logistic",30,2,"strong",2,4,"attribute8;attribute1","attribute8",0.0403846153846154
"logistic",30,2,"strong",3,5,"attribute8;attribute1","attribute8",0.0596153846153846
"logistic",30,2,"strong",4,6,"attribute8;attribute1","attribute8",0.0730769230769231
"logistic",30,2,"strong",5,10,"attribute8;attribute1","attribute8",0.0923076923076923
"logistic",30,2,"strong",6,11,"attribute8;attribute1","attribute8",0.0653846153846154
"logistic",30,2,"strong",7,12,"attribute8;attribute2","attribute8",0.0384615384615385
"logistic",30,2,"strong",8,18,"attribute8;attribute1","attribute8",0.0423076923076923
"logistic",30,2,"strong",9,28,"attribute8;attribute1","attribute8",0.0884615384615385
"logistic",30,2,"strong",10,29,"attribute8;attribute1","attribute8",0.163461538461538
"logistic",30,3,"strong",0,0,"attribute2;attribute8;attribute4",NA,0.0384615384615385
"logistic",30,3,"strong",1,2,"attribute8;attribute2;attribute4","attribute8",0.0557692307692308
"logistic",30,3,"strong",2,4,"attribute8;attribute1;attribute2","attribute8",0.0403846153846154
"logistic",30,3,"strong",3,5,"attribute8;attribute1;attribute2","attribute8",0.0596153846153846
"logistic",30,3,"strong",4,6,"attribute8;attribute1;attribute2","attribute8",0.0730769230769231
"logistic",30,3,"strong",5,10,"attribute8;attribute1;attribute2","attribute8",0.0923076923076923
"logistic",30,3,"strong",6,11,"attribute8;attribute1;attribute2","attribute8",0.0653846153846154
"logistic",30,3,"strong",7,12,"attribute8;attribute2;attribute1","attribute8",0.0384615384615385
"logistic",30,3,"strong",8,18,"attribute8;attribute1;attribute2","attribute8",0.0423076923076923
