"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model"
"HDDM_A","0.8306727","1",10,"V2","rf"
"HDDM_W","0.825872","3",10,"V2","rf"
"KSWIN","0.8267134","10",10,"V2","rf"
"PageHinkley","0.8300109","1",10,"V2","rf"
"DDM","0.8268609","0",10,"V2","rf"
"EDDM","0.8267134","10",10,"V2","rf"
"PDD_C","0.8283324","5",10,"V2","rf"
"PDD_1","0.8266536","1",10,"V2","rf"
"PDD_2","0.8266536","1",10,"V2;V1","rf"
"PDD_3","0.8248848","3",10,"V2;V1;V3","rf"
"Base Test","0.8536732","0",10,"V2","rf"
"Base Train","0.9990999","0",10,"V2","rf"
"batch sizes","13332","3334",10,"V2","rf"
"HDDM_A","0.8306437","1",10,"V2","logistic"
"HDDM_W","0.8279422","3",10,"V2","logistic"
"KSWIN","0.8292327","10",10,"V2","logistic"
"PageHinkley","0.8337011","1",10,"V2","logistic"
"DDM","0.8283908","0",10,"V2","logistic"
"EDDM","0.8292327","10",10,"V2","logistic"
"PDD_C","0.8283908","0",10,"V2","logistic"
"PDD_1","0.8283908","0",10,"V2","logistic"
"PDD_2","0.8283908","0",10,"V2;V1","logistic"
"PDD_3","0.8283908","0",10,"V2;V1;V3","logistic"
"Base Test","0.8578711","0",10,"V2","logistic"
"Base Train","0.8965647","0",10,"V2","logistic"
"batch sizes","13332","3334",10,"V2","logistic"
"HDDM_A","0.831813","2",10,"V1","tree"
"HDDM_W","0.8247935","3",10,"V1","tree"
"KSWIN","0.8293535","10",10,"V1","tree"
"PageHinkley","0.8307314","1",10,"V1","tree"
"DDM","0.8267106","0",10,"V1","tree"
"EDDM","0.8290534","9",10,"V1","tree"
"PDD_C","0.8230216","1",10,"V1","tree"
"PDD_1","0.8267106","0",10,"V1","tree"
"PDD_2","0.8267106","0",10,"V1;V2","tree"
"PDD_3","0.8237692","7",10,"V1;V2;V3","tree"
"Base Test","0.8575712","0",10,"V1","tree"
"Base Train","0.880063","0",10,"V1","tree"
"batch sizes","13332","3334",10,"V1","tree"
"HDDM_A","0.8416506","2",20,"V2","rf"
"HDDM_W","0.8411509","4",20,"V2","rf"
"KSWIN","0.8421504","20",20,"V2","rf"
"PageHinkley","0.8417934","3",20,"V2","rf"
"DDM","0.8427215","3",20,"V2","rf"
"EDDM","0.8421979","19",20,"V2","rf"
"PDD_C","0.8348076","8",20,"V2","rf"
"PDD_1","0.8346827","4",20,"V2","rf"
"PDD_2","0.8346827","4",20,"V2;V1","rf"
"PDD_3","0.8346827","4",20,"V2;V1;V3","rf"
"Base Test","0.8895552","0",20,"V2","rf"
"Base Train","0.998875","0",20,"V2","rf"
"batch sizes","8000","2000",20,"V2","rf"
"HDDM_A","0.8462197","2",20,"V2","logistic"
"HDDM_W","0.8442921","2",20,"V2","logistic"
"KSWIN","0.845482","20",20,"V2","logistic"
"PageHinkley","0.8446729","3",20,"V2","logistic"
"DDM","0.845958","3",20,"V2","logistic"
"EDDM","0.845482","20",20,"V2","logistic"
"PDD_C","0.8352324","0",20,"V2","logistic"
"PDD_1","0.8352324","0",20,"V2","logistic"
"PDD_2","0.8352324","0",20,"V2;V1","logistic"
"PDD_3","0.8352324","0",20,"V2;V1;V3","logistic"
"Base Test","0.8945527","0",20,"V2","logistic"
"Base Train","0.90325","0",20,"V2","logistic"
"batch sizes","8000","2000",20,"V2","logistic"
"HDDM_A","0.839961","2",20,"V1","tree"
"HDDM_W","0.8389139","2",20,"V1","tree"
"KSWIN","0.8440066","20",20,"V1","tree"
"PageHinkley","0.8424359","3",20,"V1","tree"
"DDM","0.8432212","1",20,"V1","tree"
"EDDM","0.8435306","18",20,"V1","tree"
"PDD_C","0.8324838","3",20,"V1","tree"
"PDD_1","0.834058","1",20,"V1","tree"
"PDD_2","0.8353823","1",20,"V1;V2","tree"
"PDD_3","0.8341079","8",20,"V1;V2;V3","tree"
"Base Test","0.8695652","0",20,"V1","tree"
