"model","Batch","top_k","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",10,1,0,0,"V2",NA,0.853673163418291
"rf",10,1,1,2,"V1","V2",0.838680659670165
"rf",10,2,0,0,"V2;V1",NA,0.853673163418291
"rf",10,2,1,2,"V1;V2","V2",0.838680659670165
"rf",10,3,0,0,"V2;V1;V3",NA,0.853673163418291
"rf",10,3,1,2,"V1;V2;V3","V2",0.838680659670165
"rf",10,3,2,6,"V1;V2;V3","V3",0.826986506746627
"rf",10,3,3,9,"V1;V2;V3","V3",0.802698650674663
"logistic",10,1,0,0,"V2",NA,0.857871064467766
"logistic",10,2,0,0,"V2;V1",NA,0.857871064467766
"logistic",10,3,0,0,"V2;V1;V3",NA,0.857871064467766
"tree",10,1,0,0,"V1",NA,0.857571214392804
"tree",10,2,0,0,"V1;V2",NA,0.857571214392804
"tree",10,3,0,0,"V1;V2;V3",NA,0.857571214392804
"tree",10,3,1,4,"V2;V1;V3","V3",0.853373313343328
"tree",10,3,2,5,"V1;V2;V3","V2",0.832383808095952
"tree",10,3,3,6,"V1;V2;V3","V2",0.835982008995502
"tree",10,3,4,7,"V2;V1;V3","V1;V2",0.802698650674663
"tree",10,3,5,8,"V1;V2;V3","V2;V3",0.810194902548726
"tree",10,3,6,9,"V1;V2;V3","V2;V3",0.797901049475262
"tree",10,3,7,10,"V1;V2;V3","V1",0.78371883448483
"rf",20,1,0,0,"V2",NA,0.889555222388806
"rf",20,1,1,1,"V1","V2",0.894552723638181
"rf",20,1,2,4,"V2","V1",0.855572213893053
"rf",20,1,3,18,"V2","V2",0.789105447276362
"rf",20,1,4,20,"V2","V2",0.796101949025487
"rf",20,2,0,0,"V2;V1",NA,0.889555222388806
"rf",20,2,1,1,"V1;V2","V2;V1",0.894552723638181
"rf",20,2,2,4,"V2;V1","V1",0.855572213893053
"rf",20,2,3,18,"V2;V1","V2",0.789105447276362
"rf",20,2,4,20,"V2;V1","V2",0.796101949025487
"rf",20,3,0,0,"V2;V1;V3",NA,0.889555222388806
"rf",20,3,1,1,"V1;V2;V3","V2;V1",0.894552723638181
"rf",20,3,2,4,"V2;V1;V3","V1",0.855572213893053
"rf",20,3,3,18,"V2;V1;V3","V2",0.789105447276362
"rf",20,3,4,20,"V2;V1;V3","V2",0.796101949025487
"logistic",20,1,0,0,"V2",NA,0.894552723638181
"logistic",20,2,0,0,"V2;V1",NA,0.894552723638181
"logistic",20,3,0,0,"V2;V1;V3",NA,0.894552723638181
"tree",20,1,0,0,"V1",NA,0.869565217391304
"tree",20,1,1,3,"V2","V1",0.856071964017991
"tree",20,2,0,0,"V1;V2",NA,0.869565217391304
"tree",20,2,1,1,"V2;V1","V2",0.883058470764618
"tree",20,3,0,0,"V1;V2;V3",NA,0.869565217391304
"tree",20,3,1,1,"V2;V1;V3","V2;V3",0.883058470764618
"tree",20,3,2,6,"V2;V1;V3","V3",0.847576211894053
"tree",20,3,3,7,"V1;V2;V3","V2",0.835582208895552
"tree",20,3,4,8,"V1;V2;V3","V1",0.836581709145427
"tree",20,3,5,12,"V1;V2;V3","V1",0.831584207896052
"tree",20,3,6,18,"V1;V2;V3","V1",0.79160419790105
"tree",20,3,7,19,"V1;V2;V3","V2",0.821589205397301
"tree",20,3,8,20,"V1;V2;V3","V2",0.792603698150925
"rf",30,1,0,0,"V2",NA,0.900699300699301
"rf",30,1,1,18,"V2","V2",0.841958041958042
"rf",30,1,2,23,"V2","V2",0.787412587412587
"rf",30,1,3,24,"V2","V2",0.791608391608392
"rf",30,2,0,0,"V2;V1",NA,0.900699300699301
"rf",30,2,1,3,"V2;V1","V1",0.892307692307692
"rf",30,3,0,0,"V2;V1;V3",NA,0.900699300699301
"rf",30,3,1,3,"V2;V1;V3","V1;V3",0.892307692307692
"logistic",30,1,0,0,"V2",NA,0.900699300699301
"logistic",30,2,0,0,"V2;V1",NA,0.900699300699301
"logistic",30,3,0,0,"V2;V1;V3",NA,0.900699300699301
"tree",30,1,0,0,"V1",NA,0.87972027972028
"tree",30,1,1,5,"V2","V1",0.825874125874126
"tree",30,1,2,8,"V1","V2",0.860839160839161
"tree",30,2,0,0,"V1;V2",NA,0.87972027972028
"tree",30,2,1,2,"V2;V1","V2",0.871328671328671
"tree",30,2,2,10,"V2;V1","V2",0.84055944055944
"tree",30,2,3,22,"V1;V2","V1",0.823076923076923
"tree",30,3,0,0,"V1;V2;V3",NA,0.87972027972028
"tree",30,3,1,2,"V2;V1;V3","V2",0.871328671328671
"tree",30,3,2,10,"V2;V1;V3","V2",0.84055944055944
"tree",30,3,3,22,"V1;V2;V3","V1",0.823076923076923
