"Model","Mean_Accuracy","Drift_Count","Batch","N_sample","G_grid","Runtime_sec","model","config"
"PDD_1","0.7236134",1,10,30,NA,6.59,"rf","N30"
"PDD_2","0.6908487",5,10,30,NA,24.47,"rf","N30"
"PDD_3","0.7224535",2,10,30,NA,7.59,"rf","N30"
"PDD_1","0.7204005",1,10,50,NA,5.64,"rf","N50"
"PDD_2","0.7046826",6,10,50,NA,34.4,"rf","N50"
"PDD_3","0.68972",5,10,50,NA,28.66,"rf","N50"
"PDD_1","0.7204005",1,10,100,NA,6.34,"rf","N100_baseline"
"PDD_2","0.6908145",4,10,100,NA,22.6,"rf","N100_baseline"
"PDD_3","0.6975664",7,10,100,NA,50.15,"rf","N100_baseline"
"PDD_1","0.7204005",1,10,200,NA,5.49,"rf","N200"
"PDD_2","0.68972",5,10,200,NA,34,"rf","N200"
"PDD_3","0.68972",5,10,200,NA,38.44,"rf","N200"
"PDD_1","0.7236134",1,10,100,10,5.33,"rf","N100_G10"
"PDD_2","0.6946567",3,10,100,10,13.38,"rf","N100_G10"
"PDD_3","0.6946567",3,10,100,10,15.01,"rf","N100_G10"
"PDD_1","0.7253679",0,10,100,20,2.05,"rf","N100_G20"
"PDD_2","0.6946567",4,10,100,20,19.02,"rf","N100_G20"
"PDD_3","0.6986617",5,10,100,20,21.22,"rf","N100_G20"
"PDD_1","0.7236134",1,10,30,10,1.7,"rf","N30_G10_maxcompress"
"PDD_2","0.7236134",1,10,30,10,1.88,"rf","N30_G10_maxcompress"
"PDD_3","0.6960807",2,10,30,10,3.26,"rf","N30_G10_maxcompress"
