"Model","Mean_Accuracy","Drift_Count","Batch","N_sample","G_grid","Runtime_sec","model","config","model_type"
"PDD_1","0.7204005",1,10,100,NA,1.9,"rf","PDD_default","rf"
"PDD_2","0.6908145",4,10,100,NA,6.05,"rf","PDD_default","rf"
"PDD_3","0.6975664",7,10,100,NA,12.26,"rf","PDD_default","rf"
"PDD_1","0.7204005",1,10,75,NA,1.24,"rf","N75","rf"
"PDD_2","0.6923715",5,10,75,NA,7.06,"rf","N75","rf"
"PDD_3","0.68972",5,10,75,NA,7.29,"rf","N75","rf"
"PDD_1","0.7204005",1,10,50,NA,1.18,"rf","N50","rf"
"PDD_2","0.7046826",6,10,50,NA,8.55,"rf","N50","rf"
"PDD_3","0.68972",5,10,50,NA,6.79,"rf","N50","rf"
"PDD_1","0.7236134",1,10,30,NA,1.15,"rf","N30","rf"
"PDD_2","0.6908487",5,10,30,NA,6.14,"rf","N30","rf"
"PDD_3","0.7224535",2,10,30,NA,2.43,"rf","N30","rf"
"PDD_1","0.7253679",0,10,100,20,0.39,"rf","N100_G20","rf"
"PDD_2","0.6946567",4,10,100,20,4.73,"rf","N100_G20","rf"
"PDD_3","0.6986617",5,10,100,20,6.8,"rf","N100_G20","rf"
"PDD_1","0.7236134",1,10,100,10,1.18,"rf","N100_G10","rf"
"PDD_2","0.6946567",3,10,100,10,3.28,"rf","N100_G10","rf"
"PDD_3","0.6946567",3,10,100,10,3.44,"rf","N100_G10","rf"
"PDD_1","0.7253679",0,10,50,20,0.36,"rf","N50_G20","rf"
"PDD_2","0.7106707",5,10,50,20,5.95,"rf","N50_G20","rf"
"PDD_3","0.7009751",6,10,50,20,7.87,"rf","N50_G20","rf"
"PDD_1","0.7236134",1,10,50,10,1.18,"rf","N50_G10","rf"
"PDD_2","0.6946567",3,10,50,10,3.12,"rf","N50_G10","rf"
"PDD_3","0.6946567",3,10,50,10,3.56,"rf","N50_G10","rf"
"PDD_1","0.7236134",1,10,30,10,1.07,"rf","N30_G10","rf"
"PDD_2","0.7236134",1,10,30,10,1.27,"rf","N30_G10","rf"
"PDD_3","0.6960807",2,10,30,10,2.52,"rf","N30_G10","rf"
"PDD_1","0.7079575",3,10,100,NA,0.63,"logistic","PDD_default","logistic"
"PDD_2","0.7079575",3,10,100,NA,0.94,"logistic","PDD_default","logistic"
"PDD_3","0.7246391",3,10,100,NA,1.24,"logistic","PDD_default","logistic"
"PDD_1","0.6710516",6,10,75,NA,1.21,"logistic","N75","logistic"
"PDD_2","0.716763",6,10,75,NA,1.67,"logistic","N75","logistic"
"PDD_3","0.716763",6,10,75,NA,1.66,"logistic","N75","logistic"
"PDD_1","0.7079575",3,10,50,NA,0.55,"logistic","N50","logistic"
"PDD_2","0.7079575",3,10,50,NA,0.76,"logistic","N50","logistic"
"PDD_3","0.6571205",5,10,50,NA,1.47,"logistic","N50","logistic"
"PDD_1","0.7161344",1,10,30,NA,0.35,"logistic","N30","logistic"
"PDD_2","0.7079575",3,10,30,NA,0.65,"logistic","N30","logistic"
"PDD_3","0.7079575",3,10,30,NA,0.79,"logistic","N30","logistic"
"PDD_1","0.696838",3,10,100,20,0.48,"logistic","N100_G20","logistic"
"PDD_2","0.696838",4,10,100,20,0.72,"logistic","N100_G20","logistic"
"PDD_3","0.696838",4,10,100,20,0.81,"logistic","N100_G20","logistic"
"PDD_1","0.6817444",3,10,100,10,0.55,"logistic","N100_G10","logistic"
"PDD_2","0.7161344",1,10,100,10,0.38,"logistic","N100_G10","logistic"
"PDD_3","0.7161344",2,10,100,10,0.48,"logistic","N100_G10","logistic"
"PDD_1","0.696838",3,10,50,20,0.53,"logistic","N50_G20","logistic"
"PDD_2","0.6959144",5,10,50,20,0.91,"logistic","N50_G20","logistic"
"PDD_3","0.6836627",7,10,50,20,1.41,"logistic","N50_G20","logistic"
"PDD_1","0.693996",4,10,50,10,0.58,"logistic","N50_G10","logistic"
"PDD_2","0.693996",3,10,50,10,0.49,"logistic","N50_G10","logistic"
"PDD_3","0.693996",4,10,50,10,0.63,"logistic","N50_G10","logistic"
"PDD_1","0.693996",4,10,30,10,0.48,"logistic","N30_G10","logistic"
"PDD_2","0.6957775",4,10,30,10,0.57,"logistic","N30_G10","logistic"
"PDD_3","0.6952486",4,10,30,10,0.62,"logistic","N30_G10","logistic"
"PDD_1","0.7252687",1,10,100,NA,0.43,"tree","PDD_default","tree"
"PDD_2","0.7252357",1,10,100,NA,0.62,"tree","PDD_default","tree"
"PDD_3","0.696406",2,10,100,NA,0.97,"tree","PDD_default","tree"
"PDD_1","0.7252687",1,10,75,NA,0.4,"tree","N75","tree"
"PDD_2","0.7234457",1,10,75,NA,0.7,"tree","N75","tree"
"PDD_3","0.7251033",1,10,75,NA,0.68,"tree","N75","tree"
"PDD_1","0.7252687",1,10,50,NA,0.35,"tree","N50","tree"
"PDD_2","0.689523",2,10,50,NA,0.64,"tree","N50","tree"
"PDD_3","0.7234457",1,10,50,NA,0.61,"tree","N50","tree"
"PDD_1","0.7252687",1,10,30,NA,0.33,"tree","N30","tree"
"PDD_2","0.6591008",1,10,30,NA,0.45,"tree","N30","tree"
"PDD_3","0.7263268",3,10,30,NA,0.85,"tree","N30","tree"
"PDD_1","0.7252687",0,10,100,20,0.19,"tree","N100_G20","tree"
"PDD_2","0.7252688",1,10,100,20,0.39,"tree","N100_G20","tree"
"PDD_3","0.7252357",1,10,100,20,0.45,"tree","N100_G20","tree"
"PDD_1","0.7251033",1,10,100,10,0.27,"tree","N100_G10","tree"
"PDD_2","0.7280484",3,10,100,10,0.59,"tree","N100_G10","tree"
"PDD_3","0.7251033",1,10,100,10,0.39,"tree","N100_G10","tree"
"PDD_1","0.7252687",0,10,50,20,0.17,"tree","N50_G20","tree"
"PDD_2","0.7251033",3,10,50,20,0.63,"tree","N50_G20","tree"
"PDD_3","0.6859176",4,10,50,20,0.87,"tree","N50_G20","tree"
"PDD_1","0.7251033",1,10,50,10,0.27,"tree","N50_G10","tree"
"PDD_2","0.7251033",1,10,50,10,0.33,"tree","N50_G10","tree"
"PDD_3","0.7251033",2,10,50,10,0.5,"tree","N50_G10","tree"
"PDD_1","0.7251033",1,10,30,10,0.28,"tree","N30_G10","tree"
"PDD_2","0.7280484",3,10,30,10,0.57,"tree","N30_G10","tree"
"PDD_3","0.7275851",4,10,30,10,0.79,"tree","N30_G10","tree"
"HDDM_A","0.7029278",10,10,NA,NA,8,"rf","HDDM_A","rf"
"HDDM_W","0.7029278",10,10,NA,NA,7.52,"rf","HDDM_W","rf"
"KSWIN","0.7029278",10,10,NA,NA,7.09,"rf","KSWIN","rf"
"PageHinkley","0.6991868",8,10,NA,NA,5.18,"rf","PageHinkley","rf"
"DDM","0.7029278",10,10,NA,NA,7.53,"rf","DDM","rf"
"EDDM","0.7029278",10,10,NA,NA,7.07,"rf","EDDM","rf"
"HDDM_A","0.6982657",10,10,NA,NA,1.01,"logistic","HDDM_A","logistic"
"HDDM_W","0.6982657",10,10,NA,NA,1.13,"logistic","HDDM_W","logistic"
"KSWIN","0.6982657",10,10,NA,NA,0.88,"logistic","KSWIN","logistic"
"PageHinkley","0.6982657",10,10,NA,NA,1.02,"logistic","PageHinkley","logistic"
"DDM","0.6982657",10,10,NA,NA,0.89,"logistic","DDM","logistic"
"EDDM","0.6982657",10,10,NA,NA,1,"logistic","EDDM","logistic"
"HDDM_A","0.7254673",10,10,NA,NA,1.41,"tree","HDDM_A","tree"
"HDDM_W","0.7254673",10,10,NA,NA,1.46,"tree","HDDM_W","tree"
"KSWIN","0.7254673",10,10,NA,NA,1.4,"tree","KSWIN","tree"
"PageHinkley","0.7214607",9,10,NA,NA,1.31,"tree","PageHinkley","tree"
"DDM","0.7254673",10,10,NA,NA,1.41,"tree","DDM","tree"
"EDDM","0.7254673",10,10,NA,NA,1.39,"tree","EDDM","tree"
