"model","Batch","top_k","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",10,1,0,0,"feature_1",NA,0.652434456928839
"rf",10,2,0,0,"feature_1;feature_2",NA,0.652434456928839
"rf",10,2,1,3,"feature_1;feature_2","feature_2",0.808239700374532
"rf",10,2,2,4,"feature_1;feature_2","feature_1",0.805243445692884
"rf",10,2,3,6,"feature_1;feature_2","feature_2",0.847191011235955
"rf",10,2,4,7,"feature_1;feature_2","feature_2",0.862172284644195
"rf",10,3,0,0,"feature_1;feature_2",NA,0.652434456928839
"rf",10,3,1,3,"feature_1;feature_2","feature_2",0.808239700374532
"rf",10,3,2,4,"feature_1;feature_2","feature_1",0.805243445692884
"rf",10,3,3,6,"feature_1;feature_2","feature_2",0.847191011235955
"rf",10,3,4,7,"feature_1;feature_2","feature_2",0.862172284644195
"logistic",10,1,0,0,"feature_1",NA,0.616479400749064
"logistic",10,2,0,0,"feature_1;feature_2",NA,0.616479400749064
"logistic",10,3,0,0,"feature_1;feature_2",NA,0.616479400749064
"tree",10,1,0,0,"feature_1",NA,0.707865168539326
"tree",10,1,1,8,"feature_1","feature_1",0.877902621722846
"tree",10,2,0,0,"feature_1;feature_2",NA,0.707865168539326
"tree",10,2,1,8,"feature_1;feature_2","feature_1",0.877902621722846
"tree",10,3,0,0,"feature_1;feature_2",NA,0.707865168539326
"tree",10,3,1,8,"feature_1;feature_2","feature_1",0.877902621722846
"rf",20,1,0,0,"feature_1",NA,0.66916354556804
"rf",20,1,1,9,"feature_1","feature_1",0.6916354556804
"rf",20,2,0,0,"feature_1;feature_2",NA,0.66916354556804
"rf",20,2,1,4,"feature_1;feature_2","feature_2",0.469413233458177
"rf",20,2,2,10,"feature_1;feature_2","feature_2",0.765293383270911
"rf",20,2,3,14,"feature_1;feature_2","feature_2",0.808988764044944
"rf",20,2,4,16,"feature_1;feature_2","feature_1",0.850187265917603
"rf",20,2,5,18,"feature_1;feature_2","feature_2",0.857677902621723
"rf",20,2,6,20,"feature_1;feature_2","feature_1",0.857677902621723
"rf",20,3,0,0,"feature_1;feature_2",NA,0.66916354556804
"rf",20,3,1,4,"feature_1;feature_2","feature_2",0.469413233458177
"rf",20,3,2,10,"feature_1;feature_2","feature_2",0.765293383270911
"rf",20,3,3,14,"feature_1;feature_2","feature_2",0.808988764044944
"rf",20,3,4,16,"feature_1;feature_2","feature_1",0.850187265917603
"rf",20,3,5,18,"feature_1;feature_2","feature_2",0.857677902621723
"rf",20,3,6,20,"feature_1;feature_2","feature_1",0.857677902621723
"logistic",20,1,0,0,"feature_1",NA,0.671660424469413
"logistic",20,2,0,0,"feature_1;feature_2",NA,0.671660424469413
"logistic",20,3,0,0,"feature_1;feature_2",NA,0.671660424469413
"tree",20,1,0,0,"feature_1",NA,0.726591760299625
"tree",20,1,1,2,"feature_1","feature_1",0.637952559300874
"tree",20,1,2,3,"feature_1","feature_1",0.583021223470662
"tree",20,2,0,0,"feature_1;feature_2",NA,0.726591760299625
"tree",20,2,1,2,"feature_1;feature_2","feature_1",0.637952559300874
"tree",20,2,2,3,"feature_1;feature_2","feature_1;feature_2",0.583021223470662
"tree",20,2,3,4,"feature_2;feature_1","feature_2",0.776529338327091
"tree",20,2,4,5,"feature_2;feature_1","feature_1",0.85518102372035
"tree",20,2,5,6,"feature_2;feature_1","feature_1",0.897627965043695
"tree",20,2,6,8,"feature_2;feature_1","feature_2",0.856429463171036
"tree",20,3,0,0,"feature_1;feature_2",NA,0.726591760299625
"tree",20,3,1,2,"feature_1;feature_2","feature_1",0.637952559300874
"tree",20,3,2,3,"feature_1;feature_2","feature_1;feature_2",0.583021223470662
"tree",20,3,3,4,"feature_2;feature_1","feature_2",0.776529338327091
"tree",20,3,4,5,"feature_2;feature_1","feature_1",0.85518102372035
"tree",20,3,5,6,"feature_2;feature_1","feature_1",0.897627965043695
"tree",20,3,6,8,"feature_2;feature_1","feature_2",0.856429463171036
"rf",30,1,0,0,"feature_1",NA,0.479930191972077
"rf",30,2,0,0,"feature_1;feature_2",NA,0.479930191972077
"rf",30,2,1,9,"feature_1;feature_2","feature_2",0.37696335078534
"rf",30,2,2,16,"feature_1;feature_2","feature_1",0.668411867364747
"rf",30,2,3,18,"feature_1;feature_2","feature_2",0.780104712041885
"rf",30,2,4,19,"feature_1;feature_2","feature_1;feature_2",0.797556719022688
"rf",30,2,5,21,"feature_1;feature_2","feature_1;feature_2",0.808027923211169
"rf",30,2,6,23,"feature_1;feature_2","feature_2",0.821989528795812
"rf",30,2,7,26,"feature_1;feature_2","feature_1",0.828970331588133
"rf",30,2,8,27,"feature_1;feature_2","feature_2",0.879581151832461
"rf",30,2,9,28,"feature_1;feature_2","feature_1",0.867364746945899
"rf",30,3,0,0,"feature_1;feature_2",NA,0.479930191972077
"rf",30,3,1,9,"feature_1;feature_2","feature_2",0.37696335078534
"rf",30,3,2,16,"feature_1;feature_2","feature_1",0.668411867364747
"rf",30,3,3,18,"feature_1;feature_2","feature_2",0.780104712041885
"rf",30,3,4,19,"feature_1;feature_2","feature_1;feature_2",0.797556719022688
"rf",30,3,5,21,"feature_1;feature_2","feature_1;feature_2",0.808027923211169
"rf",30,3,6,23,"feature_1;feature_2","feature_2",0.821989528795812
"rf",30,3,7,26,"feature_1;feature_2","feature_1",0.828970331588133
"rf",30,3,8,27,"feature_1;feature_2","feature_2",0.879581151832461
"rf",30,3,9,28,"feature_1;feature_2","feature_1",0.867364746945899
"logistic",30,1,0,0,"feature_1",NA,0.511343804537522
"logistic",30,2,0,0,"feature_1;feature_2",NA,0.511343804537522
"logistic",30,3,0,0,"feature_1;feature_2",NA,0.511343804537522
"tree",30,1,0,0,"feature_2",NA,0.427574171029668
"tree",30,2,0,0,"feature_2;feature_1",NA,0.427574171029668
"tree",30,2,1,4,"feature_1;feature_2","feature_1",0.427574171029668
"tree",30,2,2,5,"feature_1;feature_2","feature_1;feature_2",0.56369982547993
"tree",30,2,3,6,"feature_1;feature_2","feature_1;feature_2",0.504363001745201
"tree",30,2,4,11,"feature_1;feature_2","feature_2",0.745200698080279
"tree",30,2,5,16,"feature_1;feature_2","feature_1",0.837696335078534
"tree",30,2,6,18,"feature_1;feature_2","feature_2",0.921465968586387
"tree",30,2,7,19,"feature_1;feature_2","feature_1",0.900523560209424
"tree",30,2,8,20,"feature_1;feature_2","feature_1",0.898778359511344
