"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model"
"HDDM_A","  0.9508021","0",10,"V56","rf"
"HDDM_W","  0.9508021","0",10,"V56","rf"
"KSWIN","  0.9529412","1",10,"V56","rf"
"PageHinkley","  0.9508021","0",10,"V56","rf"
"DDM","  0.9513369","2",10,"V56","rf"
"EDDM","  0.9524064","2",10,"V56","rf"
"PDD","  0.9458824","5",10,"V56","rf"
"Base Test","  0.9941176","0",10,"V56","rf"
"Base Train","  1.0000000","0",10,"V56","rf"
"batch sizes","675.0000000","169",10,"V56","rf"
"HDDM_A","  0.03475936","0",10,"V25","logistic"
"HDDM_W","  0.03475936","0",10,"V25","logistic"
"KSWIN","  0.03475936","0",10,"V25","logistic"
"PageHinkley","  0.03475936","0",10,"V25","logistic"
"DDM","  0.03475936","0",10,"V25","logistic"
"EDDM","  0.02406417","2",10,"V25","logistic"
"PDD","  0.02941176","2",10,"V25","logistic"
"Base Test","  0.02941176","0",10,"V25","logistic"
"Base Train","  0.01333333","0",10,"V25","logistic"
"batch sizes","675.00000000","169",10,"V25","logistic"
"HDDM_A","  0.9486631","0",10,"V31","tree"
"HDDM_W","  0.9486631","0",10,"V31","tree"
"KSWIN","  0.9443850","3",10,"V31","tree"
"PageHinkley","  0.9486631","0",10,"V31","tree"
"DDM","  0.9358289","7",10,"V31","tree"
"EDDM","  0.9411765","2",10,"V31","tree"
"PDD","  0.9435294","0",10,"V31","tree"
"Base Test","  0.9882353","0",10,"V31","tree"
"Base Train","  0.9511111","0",10,"V31","tree"
"batch sizes","675.0000000","169",10,"V31","tree"
"HDDM_A","  0.9427184","1",20,"V61","rf"
"HDDM_W","  0.9427184","1",20,"V61","rf"
"KSWIN","  0.9382855","4",20,"V61","rf"
"PageHinkley","  0.9421690","0",20,"V61","rf"
"DDM","  0.9427184","2",20,"V61","rf"
"EDDM","  0.9441107","3",20,"V61","rf"
"PDD","  0.9421690","0",20,"V61","rf"
"Base Test","  0.9805825","0",20,"V61","rf"
"Base Train","  1.0000000","0",20,"V61","rf"
"batch sizes","404.0000000","102",20,"V61","rf"
"HDDM_A","  0.10663075","0",20,"V19","logistic"
"HDDM_W","  0.10663075","0",20,"V19","logistic"
"KSWIN","  0.06559799","1",20,"V19","logistic"
"PageHinkley","  0.10663075","0",20,"V19","logistic"
"DDM","  0.10663075","0",20,"V19","logistic"
"EDDM","  0.04915715","2",20,"V19","logistic"
"PDD","  0.04077670","2",20,"V19","logistic"
"Base Test","  0.17475728","0",20,"V19","logistic"
"Base Train","  0.00000000","0",20,"V19","logistic"
"batch sizes","404.00000000","102",20,"V19","logistic"
"HDDM_A","  0.9100661","1",20,"V36","tree"
"HDDM_W","  0.9100661","1",20,"V36","tree"
"KSWIN","  0.9242078","4",20,"V36","tree"
"PageHinkley","  0.8910701","0",20,"V36","tree"
"DDM","  0.9300971","6",20,"V36","tree"
"EDDM","  0.9164408","4",20,"V36","tree"
"PDD","  0.8914915","1",20,"V36","tree"
"Base Test","  0.8543689","0",20,"V36","tree"
"Base Train","  0.9554455","0",20,"V36","tree"
"batch sizes","404.0000000","102",20,"V36","tree"
"HDDM_A","  0.9373874","0",30,"V61","rf"
"HDDM_W","  0.9400901","1",30,"V61","rf"
"KSWIN","  0.9436937","3",30,"V61","rf"
"PageHinkley","  0.9373874","0",30,"V61","rf"
"DDM","  0.9436937","3",30,"V61","rf"
"EDDM","  0.9436937","3",30,"V61","rf"
"PDD","  0.9454955","12",30,"V61","rf"
"Base Test","  1.0000000","0",30,"V61","rf"
"Base Train","  1.0000000","0",30,"V61","rf"
"batch sizes","289.0000000","73",30,"V61","rf"
"HDDM_A","  0.13227156","1",30,"V19","logistic"
"HDDM_W","  0.14967825","0",30,"V19","logistic"
"KSWIN","  0.06891892","3",30,"V19","logistic"
"PageHinkley","  0.14967825","0",30,"V19","logistic"
"DDM","  0.13227156","1",30,"V19","logistic"
"EDDM","  0.07582046","6",30,"V19","logistic"
"PDD","  0.08452381","3",30,"V19","logistic"
"Base Test","  0.09459459","0",30,"V19","logistic"
"Base Train","  0.00000000","0",30,"V19","logistic"
"batch sizes","289.00000000","73",30,"V19","logistic"
"HDDM_A","  0.9036036","2",30,"V36","tree"
"HDDM_W","  0.9121622","2",30,"V36","tree"
"KSWIN","  0.9099099","5",30,"V36","tree"
"PageHinkley","  0.8725225","0",30,"V36","tree"
"DDM","  0.9328829","4",30,"V36","tree"
"EDDM","  0.9184685","5",30,"V36","tree"
"PDD","  0.9139640","10",30,"V36","tree"
"Base Test","  0.9729730","0",30,"V36","tree"
"Base Train","  0.9307958","0",30,"V36","tree"
"batch sizes","289.0000000","73",30,"V36","tree"
