"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model"
"HDDM_A","0.9508021","0",10,"V56","rf"
"HDDM_W","0.9508021","0",10,"V56","rf"
"KSWIN","0.9529412","1",10,"V56","rf"
"PageHinkley","0.9508021","0",10,"V56","rf"
"DDM","0.9513369","2",10,"V56","rf"
"EDDM","0.9524064","2",10,"V56","rf"
"PDD_C","0.9458824","5",10,"V56","rf"
"PDD_1","0.9452941","1",10,"V56","rf"
"PDD_2","0.9452941","1",10,"V56;V69","rf"
"PDD_3","0.9452941","1",10,"V56;V69;V61","rf"
"Base Test","0.9941176","0",10,"V56","rf"
"Base Train","1","0",10,"V56","rf"
"batch sizes","675","169",10,"V56","rf"
"HDDM_A","0.9294118","0",10,"V25","logistic"
"HDDM_W","0.9294118","0",10,"V25","logistic"
"KSWIN","0.9395722","3",10,"V25","logistic"
"PageHinkley","0.9294118","0",10,"V25","logistic"
"DDM","0.9406417","4",10,"V25","logistic"
"EDDM","0.9395722","2",10,"V25","logistic"
"PDD_C","0.93","2",10,"V25","logistic"
"PDD_1","0.9288235","1",10,"V25","logistic"
"PDD_2","0.9288235","1",10,"V25;V6","logistic"
"PDD_3","0.9288235","1",10,"V25;V6;V70","logistic"
"Base Test","0.9647059","0",10,"V25","logistic"
"Base Train","0.9525926","0",10,"V25","logistic"
"batch sizes","675","169",10,"V25","logistic"
"HDDM_A","0.9486631","0",10,"V31","tree"
"HDDM_W","0.9486631","0",10,"V31","tree"
"KSWIN","0.944385","3",10,"V31","tree"
"PageHinkley","0.9486631","0",10,"V31","tree"
"DDM","0.9358289","7",10,"V31","tree"
"EDDM","0.9411765","2",10,"V31","tree"
"PDD_C","0.9435294","0",10,"V31","tree"
"PDD_1","0.9435294","0",10,"V31","tree"
"PDD_2","0.9435294","0",10,"V31;V33","tree"
"PDD_3","0.9394118","1",10,"V31;V33;V32","tree"
"Base Test","0.9882353","0",10,"V31","tree"
"Base Train","0.9511111","0",10,"V31","tree"
"batch sizes","675","169",10,"V31","tree"
"HDDM_A","0.9427184","1",20,"V61","rf"
"HDDM_W","0.9427184","1",20,"V61","rf"
"KSWIN","0.9382855","4",20,"V61","rf"
"PageHinkley","0.942169","0",20,"V61","rf"
"DDM","0.9427184","2",20,"V61","rf"
"EDDM","0.9441107","3",20,"V61","rf"
"PDD_C","0.942169","0",20,"V61","rf"
"PDD_1","0.942169","0",20,"V61","rf"
"PDD_2","0.9412621","11",20,"V61;V25","rf"
"PDD_3","0.9426544","9",20,"V61;V25;V33","rf"
"Base Test","0.9805825","0",20,"V61","rf"
"Base Train","1","0",20,"V61","rf"
"batch sizes","404","102",20,"V61","rf"
"HDDM_A","0.8941748","2",20,"V19","logistic"
"HDDM_W","0.8907127","1",20,"V19","logistic"
"KSWIN","0.9164408","2",20,"V19","logistic"
"PageHinkley","0.8501654","0",20,"V19","logistic"
"DDM","0.915534","6",20,"V19","logistic"
"EDDM","0.9183186","4",20,"V19","logistic"
"PDD_C","0.9126214","2",20,"V19","logistic"
"PDD_1","0.9120719","6",20,"V19","logistic"
"PDD_2","0.9179612","10",20,"V19;V45","logistic"
"PDD_3","0.9179612","10",20,"V19;V45;V3","logistic"
"Base Test","0.815534","0",20,"V19","logistic"
"Base Train","1","0",20,"V19","logistic"
"batch sizes","404","102",20,"V19","logistic"
"HDDM_A","0.9100661","1",20,"V36","tree"
"HDDM_W","0.9100661","1",20,"V36","tree"
"KSWIN","0.9242078","4",20,"V36","tree"
"PageHinkley","0.8910701","0",20,"V36","tree"
"DDM","0.9148565","6",20,"V36","tree"
"EDDM","0.9164408","4",20,"V36","tree"
"PDD_C","0.8914915","1",20,"V36","tree"
"PDD_1","0.8910701","0",20,"V36","tree"
"PDD_2","0.923237","11",20,"V36;V35","tree"
"PDD_3","0.923301","15",20,"V36;V35;V37","tree"
"Base Test","0.8543689","0",20,"V36","tree"
"Base Train","0.9554455","0",20,"V36","tree"
"batch sizes","404","102",20,"V36","tree"
"HDDM_A","0.9373874","0",30,"V61","rf"
"HDDM_W","0.9400901","1",30,"V61","rf"
"KSWIN","0.9436937","3",30,"V61","rf"
"PageHinkley","0.9373874","0",30,"V61","rf"
"DDM","0.9436937","3",30,"V61","rf"
"EDDM","0.9436937","3",30,"V61","rf"
"PDD_C","0.9454955","12",30,"V61","rf"
"PDD_1","0.9423423","1",30,"V61","rf"
"PDD_2","0.9441441","1",30,"V61;V3","rf"
"PDD_3","0.9441441","1",30,"V61;V3;V42","rf"
"Base Test","1","0",30,"V61","rf"
"Base Train","1","0",30,"V61","rf"
"batch sizes","289","73",30,"V61","rf"
"HDDM_A","0.811583","0",30,"V19","logistic"
"HDDM_W","0.852574","1",30,"V19","logistic"
"KSWIN","0.9144144","5",30,"V19","logistic"
"PageHinkley","0.811583","0",30,"V19","logistic"
"DDM","0.8705759","2",30,"V19","logistic"
"EDDM","0.8842342","6",30,"V19","logistic"
"PDD_C","0.8722329","3",30,"V19","logistic"
"PDD_1","0.9027027","7",30,"V19","logistic"
"PDD_2","0.9009009","17",30,"V19;V44","logistic"
"PDD_3","0.9130631","12",30,"V19;V44;V4","logistic"
"Base Test","0.9054054","0",30,"V19","logistic"
"Base Train","1","0",30,"V19","logistic"
"batch sizes","289","73",30,"V19","logistic"
"HDDM_A","0.9036036","2",30,"V36","tree"
"HDDM_W","0.9121622","2",30,"V36","tree"
"KSWIN","0.9148649","5",30,"V36","tree"
"PageHinkley","0.8725225","0",30,"V36","tree"
"DDM","0.9328829","4",30,"V36","tree"
"EDDM","0.9184685","5",30,"V36","tree"
"PDD_C","0.913964","10",30,"V36","tree"
"PDD_1","0.8964125","1",30,"V36","tree"
"PDD_2","0.8964125","1",30,"V36;V37","tree"
"PDD_3","0.8964125","1",30,"V36;V37;V38","tree"
"Base Test","0.972973","0",30,"V36","tree"
"Base Train","0.9307958","0",30,"V36","tree"
"batch sizes","289","73",30,"V36","tree"
