"model","Batch","top_k","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",10,1,0,0,"V56",NA,0.994117647058824
"rf",10,1,1,1,"V32","V56",0.794117647058823
"rf",10,2,0,0,"V56;V69",NA,0.994117647058824
"rf",10,2,1,1,"V32;V1","V56",0.794117647058823
"rf",10,3,0,0,"V56;V69;V61",NA,0.994117647058824
"rf",10,3,1,1,"V32;V1;V42","V56;V61",0.794117647058823
"logistic",10,1,0,0,"V25",NA,0.964705882352941
"logistic",10,1,1,4,"V25","V25",0.970588235294118
"logistic",10,2,0,0,"V25;V6",NA,0.964705882352941
"logistic",10,2,1,4,"V25;V39","V25",0.970588235294118
"logistic",10,3,0,0,"V25;V6;V70",NA,0.964705882352941
"logistic",10,3,1,4,"V25;V39;V65","V25",0.970588235294118
"tree",10,1,0,0,"V31",NA,0.988235294117647
"tree",10,2,0,0,"V31;V33",NA,0.988235294117647
"tree",10,3,0,0,"V31;V33;V32",NA,0.988235294117647
"tree",10,3,1,1,"V42;V43;V41","V32",0.829411764705882
"rf",20,1,0,0,"V61",NA,0.980582524271845
"rf",20,2,0,0,"V61;V25",NA,0.980582524271845
"rf",20,2,1,6,"V27;V29","V25",1
"rf",20,2,2,7,"V42;V30","V29",0.951456310679612
"rf",20,2,3,8,"V62;V28","V42;V30",0.902912621359223
"rf",20,2,4,10,"V31;V41","V28",1
"rf",20,2,5,13,"V43;V33","V31",1
"rf",20,2,6,14,"V33;V28","V33",0.970873786407767
"rf",20,2,7,15,"V41;V32","V28",0.932038834951456
"rf",20,2,8,16,"V33;V28","V32",0.912621359223301
"rf",20,2,9,17,"V33;V13","V28",1
"rf",20,2,10,18,"V32;V41","V33",0.990291262135922
"rf",20,2,11,19,"V32;V39","V32;V41",0.902912621359223
"rf",20,3,0,0,"V61;V25;V33",NA,0.980582524271845
"rf",20,3,1,3,"V28;V42;V54","V33",1
"rf",20,3,2,4,"V56;V32;V33","V54",0.87378640776699
"rf",20,3,3,5,"V42;V41;V56","V56",0.805825242718447
"rf",20,3,4,10,"V43;V31;V44","V56",1
"rf",20,3,5,14,"V41;V43;V40","V44",0.970873786407767
"rf",20,3,6,15,"V42;V44;V61","V41",0.912621359223301
"rf",20,3,7,17,"V43;V32;V11","V42",1
"rf",20,3,8,19,"V41;V56;V43","V11",0.883495145631068
"rf",20,3,9,20,"V42;V10;V32","V56",0.989010989010989
"logistic",20,1,0,0,"V19",NA,0.815533980582524
"logistic",20,1,1,2,"V25","V19",0.766990291262136
"logistic",20,1,2,6,"V25","V25",0.990291262135922
"logistic",20,1,3,7,"V25","V25",0.941747572815534
"logistic",20,1,4,10,"V25","V25",1
"logistic",20,1,5,14,"V25","V25",0.922330097087379
"logistic",20,1,6,20,"V25","V25",0.989010989010989
"logistic",20,2,0,0,"V19;V45",NA,0.815533980582524
"logistic",20,2,1,1,"V25;V39","V45",0.776699029126214
"logistic",20,2,2,5,"V39;V40","V39",0.766990291262136
"logistic",20,2,3,6,"V39;V40","V39",0.990291262135922
"logistic",20,2,4,8,"V39;V40","V40",0.883495145631068
"logistic",20,2,5,10,"V39;V40","V40",1
"logistic",20,2,6,11,"V38;V40","V40",0.951456310679612
"logistic",20,2,7,14,"V38;V40","V40",0.951456310679612
"logistic",20,2,8,15,"V40;V39","V38;V40",0.893203883495146
"logistic",20,2,9,19,"V40;V38","V40",0.87378640776699
"logistic",20,2,10,20,"V40;V56","V38",1
"logistic",20,3,0,0,"V19;V45;V3",NA,0.815533980582524
"logistic",20,3,1,1,"V25;V39;V40","V45;V3",0.776699029126214
"logistic",20,3,2,5,"V39;V40;V38","V39;V40",0.766990291262136
"logistic",20,3,3,6,"V39;V40;V38","V39",0.990291262135922
"logistic",20,3,4,8,"V39;V40;V38","V40",0.883495145631068
"logistic",20,3,5,10,"V39;V40;V38","V40;V38",1
"logistic",20,3,6,11,"V38;V40;V39","V40",0.951456310679612
"logistic",20,3,7,14,"V38;V40;V39","V40",0.951456310679612
"logistic",20,3,8,15,"V40;V39;V38","V38;V40",0.893203883495146
"logistic",20,3,9,19,"V40;V38;V13","V40",0.87378640776699
"logistic",20,3,10,20,"V40;V56;V13","V38",1
"tree",20,1,0,0,"V36",NA,0.854368932038835
"tree",20,2,0,0,"V36;V35",NA,0.854368932038835
"tree",20,2,1,2,"V11;V33","V35",0.893203883495146
"tree",20,2,2,3,"V32;V40","V33",0.990291262135922
"tree",20,2,3,4,"V33;V32","V32;V40",0.864077669902913
"tree",20,2,4,5,"V42;V41","V33;V32",0.747572815533981
"tree",20,2,5,7,"V42;V40","V42",0.951456310679612
"tree",20,2,6,9,"V44;V42","V42",0.941747572815534
"tree",20,2,7,14,"V44;V42","V42",0.970873786407767
"tree",20,2,8,15,"V41;V40","V44",0.883495145631068
"tree",20,2,9,17,"V41;V40","V40",1
"tree",20,2,10,19,"V43;V44","V40",0.844660194174757
"tree",20,2,11,20,"V43;V44","V43",0.989010989010989
"tree",20,3,0,0,"V36;V35;V37",NA,0.854368932038835
"tree",20,3,1,2,"V11;V33;V1","V35",0.893203883495146
"tree",20,3,2,3,"V32;V40;V41","V33",0.990291262135922
"tree",20,3,3,4,"V33;V32;V31","V32;V40;V41",0.864077669902913
"tree",20,3,4,5,"V42;V41;V40","V33;V32;V31",0.747572815533981
"tree",20,3,5,7,"V42;V40;V41","V42",0.951456310679612
"tree",20,3,6,9,"V44;V42;V43","V42",0.941747572815534
"tree",20,3,7,10,"V44;V42;V43","V43",1
"tree",20,3,8,13,"V44;V42;V43","V43",1
"tree",20,3,9,14,"V42;V44;V43","V42;V43",0.970873786407767
"tree",20,3,10,15,"V41;V42;V40","V42;V43",0.883495145631068
"tree",20,3,11,16,"V42;V43;V41","V42;V40",0.893203883495146
"tree",20,3,12,17,"V42;V43;V44","V41",1
"tree",20,3,13,18,"V42;V43;V44","V44",0.961165048543689
