"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model","train_acc","overfit_gap","regularize"
"HDDM_A","0.9187166","1",10,"V44","rf","0.957037","-0.0135512","strong"
"HDDM_W","0.9037433","0",10,"V44","rf","0.957037","-0.0135512","strong"
"KSWIN","0.928877","4",10,"V44","rf","0.957037","-0.0135512","strong"
"PageHinkley","0.9037433","0",10,"V44","rf","0.957037","-0.0135512","strong"
"DDM","0.9278075","9",10,"V44","rf","0.957037","-0.0135512","strong"
"EDDM","0.9235294","4",10,"V44","rf","0.957037","-0.0135512","strong"
"PDD_C","0.9129412","1",10,"V44","rf","0.957037","-0.0135512","strong"
"PDD_1","0.9129412","1",10,"V44","rf","0.957037","-0.0135512","strong"
"PDD_2","0.9129412","1",10,"V44;V38","rf","0.957037","-0.0135512","strong"
"PDD_3","0.9129412","1",10,"V44;V38;V54","rf","0.957037","-0.0135512","strong"
"Base Test","0.9705882","0",10,"V44","rf","0.957037","-0.0135512","strong"
"Base Train","0.957037","0",10,"V44","rf","0.957037","-0.0135512","strong"
"batch sizes","675","169",10,"V44","rf","0.957037","-0.0135512","strong"
"HDDM_A","0.03475936","0",10,"V25","logistic","0.01333333","-0.01607843","strong"
"HDDM_W","0.03475936","0",10,"V25","logistic","0.01333333","-0.01607843","strong"
"KSWIN","0.03475936","0",10,"V25","logistic","0.01333333","-0.01607843","strong"
"PageHinkley","0.03475936","0",10,"V25","logistic","0.01333333","-0.01607843","strong"
"DDM","0.03475936","0",10,"V25","logistic","0.01333333","-0.01607843","strong"
"EDDM","0.02406417","2",10,"V25","logistic","0.01333333","-0.01607843","strong"
"PDD_C","0.02941176","2",10,"V25","logistic","0.01333333","-0.01607843","strong"
"PDD_1","0.03058824","1",10,"V25","logistic","0.01333333","-0.01607843","strong"
"PDD_2","0.03058824","1",10,"V25;V6","logistic","0.01333333","-0.01607843","strong"
"PDD_3","0.03058824","1",10,"V25;V6;V70","logistic","0.01333333","-0.01607843","strong"
"Base Test","0.02941176","0",10,"V25","logistic","0.01333333","-0.01607843","strong"
"Base Train","0.01333333","0",10,"V25","logistic","0.01333333","-0.01607843","strong"
"batch sizes","675","169",10,"V25","logistic","0.01333333","-0.01607843","strong"
"HDDM_A","0.942246","0",10,"V33","tree","0.9259259","-0.06819172","strong"
"HDDM_W","0.9395722","1",10,"V33","tree","0.9259259","-0.06819172","strong"
"KSWIN","0.940107","3",10,"V33","tree","0.9259259","-0.06819172","strong"
"PageHinkley","0.942246","0",10,"V33","tree","0.9259259","-0.06819172","strong"
"DDM","0.9368984","7",10,"V33","tree","0.9259259","-0.06819172","strong"
"EDDM","0.9395722","3",10,"V33","tree","0.9259259","-0.06819172","strong"
"PDD_C","0.9364706","1",10,"V33","tree","0.9259259","-0.06819172","strong"
"PDD_1","0.9364706","1",10,"V33","tree","0.9259259","-0.06819172","strong"
"PDD_2","0.9335294","1",10,"V33;V31","tree","0.9259259","-0.06819172","strong"
"PDD_3","0.9335294","1",10,"V33;V31;V32","tree","0.9259259","-0.06819172","strong"
"Base Test","0.9941176","0",10,"V33","tree","0.9259259","-0.06819172","strong"
"Base Train","0.9259259","0",10,"V33","tree","0.9259259","-0.06819172","strong"
"batch sizes","675","169",10,"V33","tree","0.9259259","-0.06819172","strong"
"HDDM_A","0.8867652","2",20,"V61","rf","0.980198","0.1258291","strong"
"HDDM_W","0.8881575","2",20,"V61","rf","0.980198","0.1258291","strong"
"KSWIN","0.8955671","6",20,"V61","rf","0.980198","0.1258291","strong"
"PageHinkley","0.8552118","0",20,"V61","rf","0.980198","0.1258291","strong"
"DDM","0.8946602","4",20,"V61","rf","0.980198","0.1258291","strong"
"EDDM","0.8979942","5",20,"V61","rf","0.980198","0.1258291","strong"
"PDD_C","0.8995146","12",20,"V61","rf","0.980198","0.1258291","strong"
"PDD_1","0.8863438","3",20,"V61","rf","0.980198","0.1258291","strong"
"PDD_2","0.8966019","7",20,"V61;V56","rf","0.980198","0.1258291","strong"
"PDD_3","0.8984797","10",20,"V61;V56;V42","rf","0.980198","0.1258291","strong"
"Base Test","0.8543689","0",20,"V61","rf","0.980198","0.1258291","strong"
"Base Train","0.980198","0",20,"V61","rf","0.980198","0.1258291","strong"
"batch sizes","404","102",20,"V61","rf","0.980198","0.1258291","strong"
"HDDM_A","0.1066307","0",20,"V19","logistic","0","-0.1747573","strong"
"HDDM_W","0.1066307","0",20,"V19","logistic","0","-0.1747573","strong"
"KSWIN","0.06559799","1",20,"V19","logistic","0","-0.1747573","strong"
"PageHinkley","0.1066307","0",20,"V19","logistic","0","-0.1747573","strong"
"DDM","0.1066307","0",20,"V19","logistic","0","-0.1747573","strong"
"EDDM","0.04915715","2",20,"V19","logistic","0","-0.1747573","strong"
"PDD_C","0.0407767","2",20,"V19","logistic","0","-0.1747573","strong"
"PDD_1","0.04229702","6",20,"V19","logistic","0","-0.1747573","strong"
"PDD_2","0.04029126","10",20,"V19;V45","logistic","0","-0.1747573","strong"
"PDD_3","0.04029126","10",20,"V19;V45;V3","logistic","0","-0.1747573","strong"
"Base Test","0.1747573","0",20,"V19","logistic","0","-0.1747573","strong"
"Base Train","0","0",20,"V19","logistic","0","-0.1747573","strong"
"batch sizes","404","102",20,"V19","logistic","0","-0.1747573","strong"
"HDDM_A","0.8932432","4",30,"V61","rf","0.9757785","0.01631909","strong"
"HDDM_W","0.8738739","2",30,"V61","rf","0.9757785","0.01631909","strong"
"KSWIN","0.9004505","9",30,"V61","rf","0.9757785","0.01631909","strong"
"PageHinkley","0.8472973","0",30,"V61","rf","0.9757785","0.01631909","strong"
"DDM","0.8981982","9",30,"V61","rf","0.9757785","0.01631909","strong"
"EDDM","0.8905405","6",30,"V61","rf","0.9757785","0.01631909","strong"
"PDD_C","0.9022523","14",30,"V61","rf","0.9757785","0.01631909","strong"
"PDD_1","0.9004505","16",30,"V61","rf","0.9757785","0.01631909","strong"
"PDD_2","0.9022523","19",30,"V61;V33","rf","0.9757785","0.01631909","strong"
"PDD_3","0.9063063","22",30,"V61;V33;V39","rf","0.9757785","0.01631909","strong"
"Base Test","0.9594595","0",30,"V61","rf","0.9757785","0.01631909","strong"
"Base Train","0.9757785","0",30,"V61","rf","0.9757785","0.01631909","strong"
"batch sizes","289","73",30,"V61","rf","0.9757785","0.01631909","strong"
"HDDM_A","0.1322716","1",30,"V19","logistic","0","-0.09459459","strong"
"HDDM_W","0.1496782","0",30,"V19","logistic","0","-0.09459459","strong"
"KSWIN","0.06891892","3",30,"V19","logistic","0","-0.09459459","strong"
"PageHinkley","0.1496782","0",30,"V19","logistic","0","-0.09459459","strong"
"DDM","0.1322716","1",30,"V19","logistic","0","-0.09459459","strong"
"EDDM","0.07582046","6",30,"V19","logistic","0","-0.09459459","strong"
"PDD_C","0.08452381","3",30,"V19","logistic","0","-0.09459459","strong"
"PDD_1","0.05585586","7",30,"V19","logistic","0","-0.09459459","strong"
"PDD_2","0.05585586","17",30,"V19;V44","logistic","0","-0.09459459","strong"
"PDD_3","0.0481982","12",30,"V19;V44;V4","logistic","0","-0.09459459","strong"
"Base Test","0.09459459","0",30,"V19","logistic","0","-0.09459459","strong"
"Base Train","0","0",30,"V19","logistic","0","-0.09459459","strong"
"batch sizes","289","73",30,"V19","logistic","0","-0.09459459","strong"
