"model","Batch","top_k","regularize","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"rf",10,1,"strong",0,0,"V44",NA,0.970588235294118
"rf",10,1,"strong",1,1,"V56","V44",0.805882352941176
"rf",10,2,"strong",0,0,"V44;V38",NA,0.970588235294118
"rf",10,2,"strong",1,1,"V56;V39","V44;V38",0.805882352941176
"rf",10,3,"strong",0,0,"V44;V38;V54",NA,0.970588235294118
"rf",10,3,"strong",1,1,"V56;V39;V22","V44;V38;V54",0.805882352941176
"logistic",10,1,"strong",0,0,"V25",NA,0.0294117647058824
"logistic",10,1,"strong",1,4,"V25","V25",0.0176470588235294
"logistic",10,2,"strong",0,0,"V25;V6",NA,0.0294117647058824
"logistic",10,2,"strong",1,4,"V25;V39","V25",0.0176470588235294
"logistic",10,3,"strong",0,0,"V25;V6;V70",NA,0.0294117647058824
"logistic",10,3,"strong",1,4,"V25;V39;V65","V25",0.0176470588235294
"tree",10,1,"strong",0,0,"V33",NA,0.994117647058824
"tree",10,1,"strong",1,3,"V31","V33",0.9
"tree",10,2,"strong",0,0,"V33;V31",NA,0.994117647058824
"tree",10,2,"strong",1,1,"V42;V43","V31",0.764705882352941
"tree",10,3,"strong",0,0,"V33;V31;V32",NA,0.994117647058824
"tree",10,3,"strong",1,1,"V42;V43;V41","V31",0.764705882352941
"rf",20,1,"strong",0,0,"V61",NA,0.854368932038835
"rf",20,1,"strong",1,1,"V56","V61",0.699029126213592
"rf",20,1,"strong",2,3,"V37","V56",1
"rf",20,1,"strong",3,15,"V54","V37",0.776699029126214
"rf",20,2,"strong",0,0,"V61;V56",NA,0.854368932038835
"rf",20,2,"strong",1,1,"V56;V2","V61",0.699029126213592
"rf",20,2,"strong",2,3,"V37;V54","V56",1
"rf",20,2,"strong",3,5,"V38;V54","V54",0.689320388349515
"rf",20,2,"strong",4,10,"V38;V54","V54",1
"rf",20,2,"strong",5,15,"V56;V54","V38",0.766990291262136
"rf",20,2,"strong",6,17,"V37;V38","V56",1
"rf",20,2,"strong",7,20,"V39;V40","V37",1
"rf",20,3,"strong",0,0,"V61;V56;V42",NA,0.854368932038835
"rf",20,3,"strong",1,1,"V56;V2;V61","V61;V42",0.699029126213592
"rf",20,3,"strong",2,3,"V37;V54;V56","V56;V61",1
"rf",20,3,"strong",3,4,"V37;V56;V34","V56",0.805825242718447
"rf",20,3,"strong",4,5,"V56;V3;V37","V34",0.718446601941748
"rf",20,3,"strong",5,6,"V22;V56;V37","V3;V37",1
"rf",20,3,"strong",6,10,"V36;V40;V45","V22;V56",1
"rf",20,3,"strong",7,15,"V39;V51;V56","V36;V40;V45",0.796116504854369
"rf",20,3,"strong",8,17,"V38;V41;V22","V51;V56",1
"rf",20,3,"strong",9,19,"V38;V42;V39","V38;V41;V22",0.747572815533981
"rf",20,3,"strong",10,20,"V37;V56;V39","V42",0.989010989010989
"logistic",20,1,"strong",0,0,"V19",NA,0.174757281553398
"logistic",20,1,"strong",1,2,"V25","V19",0.155339805825243
"logistic",20,1,"strong",2,6,"V25","V25",0.00970873786407767
"logistic",20,1,"strong",3,7,"V25","V25",0.00970873786407767
"logistic",20,1,"strong",4,10,"V25","V25",0
"logistic",20,1,"strong",5,14,"V25","V25",0.0485436893203883
"logistic",20,1,"strong",6,20,"V25","V25",0.010989010989011
"logistic",20,2,"strong",0,0,"V19;V45",NA,0.174757281553398
"logistic",20,2,"strong",1,1,"V25;V39","V45",0.106796116504854
"logistic",20,2,"strong",2,5,"V39;V40","V39",0.0970873786407767
"logistic",20,2,"strong",3,6,"V39;V40","V39",0.00970873786407767
"logistic",20,2,"strong",4,8,"V39;V40","V40",0.0485436893203883
"logistic",20,2,"strong",5,10,"V39;V40","V40",0
"logistic",20,2,"strong",6,11,"V38;V40","V40",0.0194174757281553
"logistic",20,2,"strong",7,14,"V38;V40","V40",0.029126213592233
"logistic",20,2,"strong",8,15,"V40;V39","V38;V40",0.0388349514563107
"logistic",20,2,"strong",9,19,"V40;V38","V40",0.0388349514563107
"logistic",20,2,"strong",10,20,"V40;V56","V38",0
"logistic",20,3,"strong",0,0,"V19;V45;V3",NA,0.174757281553398
"logistic",20,3,"strong",1,1,"V25;V39;V40","V45;V3",0.106796116504854
"logistic",20,3,"strong",2,5,"V39;V40;V38","V39;V40",0.0970873786407767
"logistic",20,3,"strong",3,6,"V39;V40;V38","V39",0.00970873786407767
"logistic",20,3,"strong",4,8,"V39;V40;V38","V40",0.0485436893203883
